technology_effects_junction_tables
0
technology	effect	effect_scope	value
tech_def_0_1_2	wh2_main_effect_tech_unit_xp_levels_def_militia	faction_to_character_own_unseen	2
tech_def_0_1_3	wh2_main_effect_tech_battle_morale_increase_def_militia_corsair_darkrider	faction_to_force_own_unseen	5
tech_def_0_2_0	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	10
tech_def_0_2_0	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	15
tech_def_0_2_1	wh2_main_effect_tech_upkeep_cost_reduction_def_corsairs	faction_to_force_own_unseen	-5
tech_def_0_2_1	wh_main_effect_force_all_campaign_sacking_income	faction_to_character_own_unseen	20
tech_def_0_2_2	wh2_main_effect_tech_unit_xp_levels_def_corsairs_shades_darkriders	faction_to_character_own_unseen	2
tech_def_0_2_3	wh2_dlc11_effect_army_battle_ap_damage_harpies	faction_to_force_own_unseen	2
tech_def_0_2_3	wh2_main_effect_tech_melee_attack_increase_def_harpy	faction_to_force_own_unseen	5
tech_def_0_3_0	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	10
tech_def_0_3_1	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	15
tech_def_0_3_2	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	5
tech_def_0_3_2	wh_main_effect_force_all_campaign_captives	faction_to_force_own_unseen	15
tech_def_0_3_3	wh_main_effect_public_order_tech	faction_to_province_own_unseen	1
tech_def_1_0_0	wh_main_effect_blackark_growth_tech	faction_to_force_own_unseen	3
tech_def_1_1_0	wh2_main_effect_tech_melee_damage_increase_def_militia_corsairs	faction_to_force_own_unseen	10
tech_def_1_1_0	wh2_main_effect_tech_missile_damage_increase_def_darkshard_corsairs	faction_to_force_own_unseen	10
tech_def_1_1_1	wh2_main_effect_tech_ammunition_increase_def_boltthrower_scourgerunner	faction_to_force_own_unseen	25
tech_def_1_1_1	wh2_main_effect_tech_missile_damage_increase_def_boltthrower_scourgerunners	faction_to_force_own_unseen	10
tech_def_1_1_1	wh2_main_effect_tech_missile_rate_of_fire_increase_def_boltthrower_scourgerunners	faction_to_force_own_unseen	10
tech_def_1_1_2	wh2_main_effect_tech_melee_damage_increase_def_shades_darkriders	faction_to_force_own_unseen	10
tech_def_1_1_2	wh2_main_effect_tech_missile_rate_of_fire_increase_def_darkrider_shade	faction_to_force_own_unseen	10
tech_def_1_1_2	wh2_main_effect_tech_movement_speed_def_shades_darkriders	faction_to_force_own_unseen	10
tech_def_1_1_3	wh2_main_effect_tech_ammunition_increase_def_crossbows_corsair_darkrider_shade	faction_to_force_own_unseen	20
tech_def_1_1_3	wh2_main_effect_tech_missile_range_increase_def_darkshards_shades_darkrider_corsair	faction_to_force_own_unseen	15
tech_def_1_2_0	wh2_main_effect_tech_movement_speed_def_coldones	faction_to_force_own_unseen	10
tech_def_1_2_1	wh2_main_effect_tech_movement_speed_def_hydra_harpy	faction_to_force_own_unseen	10
tech_def_1_2_2	wh2_main_effect_tech_unit_xp_levels_def_harpy_hydra	faction_to_character_own_unseen	2
tech_def_1_2_3	wh2_main_effect_slave_income_modifier	faction_to_province_own_unseen	10
tech_def_1_2_3	wh_main_effect_technology_economy_gdp_mod_mining_dwarfs	faction_to_region_own_unseen	15
tech_def_1_3_0	wh2_main_effect_economy_gdp_mod_slaves_def	faction_to_region_own_unseen	10
tech_def_1_3_1	wh2_main_effect_building_unit_xp_levels_def_resource_medicine	faction_to_character_own_unseen	2
tech_def_1_3_2	wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	faction_to_region_own_unseen	10
tech_def_1_3_3_slaanesh	wh2_main_effect_tech_ward_save_def_witch_elves	faction_to_force_own_unseen	5
tech_def_1_3_3_slaanesh	wh_main_effect_religion_conversion_chaos_technologies	faction_to_faction_own	1
tech_def_1_3_3	wh2_main_effect_tech_ward_save_def_witch_elves	faction_to_force_own_unseen	5
tech_def_1_3_3	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	1
tech_def_2_0_0	wh_main_effect_blackark_growth_tech	faction_to_force_own_unseen	5
tech_def_2_1_0	wh2_main_effect_tech_unit_xp_levels_def_blackguard	faction_to_character_own_unseen	2
tech_def_2_1_0	wh2_main_effect_tech_unit_xp_levels_def_executioners	faction_to_character_own_unseen	2
tech_def_2_1_1	wh2_main_effect_tech_armour_increase_def_militia	faction_to_force_own_unseen	10
tech_def_2_1_2	wh2_main_effect_tech_armour_increase_def_corsair_shade_darkrider_scourgerunner	faction_to_force_own_unseen	10
tech_def_2_1_3	wh2_main_effect_tech_movement_speed_def_elite_inf	faction_to_force_own_unseen	10
tech_def_2_1_3	wh_main_effect_agent_movement_range_mod	faction_to_character_own_unseen	10
tech_def_2_2_0	wh_main_effect_unit_recruitment_points	faction_to_province_own	1
tech_def_2_2_1	wh2_main_effect_tech_recruitment_cost_reduction_def_militia	faction_to_force_own_unseen	-5
tech_def_2_2_1	wh2_main_effect_tech_upkeep_cost_reduction_def_militia	faction_to_force_own_unseen	-5
tech_def_2_2_2	wh2_main_effect_tech_recruitment_cost_reduction_def_shades_darkriders_scourgerunners	faction_to_force_own_unseen	-5
tech_def_2_2_2	wh2_main_effect_tech_upkeep_cost_reduction_def_shades_darkriders_scourgerunners	faction_to_force_own_unseen	-5
tech_def_2_2_3	wh2_main_effect_tech_recruitment_cost_reduction_def_beasts	faction_to_force_own_unseen	-5
tech_def_2_2_3	wh2_main_effect_tech_upkeep_cost_reduction_def_beasts	faction_to_force_own_unseen	-5
tech_def_2_3_0	wh2_main_effect_character_mod_loyalty_all	faction_to_faction_own_unseen	2
tech_def_2_3_0	wh_main_effect_public_order_tech	faction_to_province_own_unseen	1
tech_def_2_3_1	wh2_dlc10_effect_tech_melee_defence_increase_def_doomfire_warlocks	faction_to_force_own_unseen	5
tech_def_2_3_1	wh2_main_effect_agent_recruitment_xp_def_death_hag	faction_to_province_own_unseen	2
tech_def_2_3_1	wh2_main_effect_agent_recruitment_xp_def_khainite_assassin	faction_to_province_own_unseen	2
tech_def_2_3_1	wh2_main_effect_tech_melee_defence_increase_def_lords_and_heroes	faction_to_force_own_unseen	5
tech_def_2_3_2	wh2_main_effect_diplomacy_bonus_dark_elves_technology	faction_to_faction_own_unseen	10
tech_def_2_3_2	wh2_main_effect_diplomacy_bonus_high_elves_technology	faction_to_faction_own_unseen	10
tech_def_2_3_3	wh2_dlc10_effect_tech_melee_attack_increase_def_doomfire_warlocks	faction_to_force_own_unseen	5
tech_def_2_3_3	wh2_main_effect_agent_action_hinder_agent_assassinate_buff	faction_to_character_own_agents	5
tech_def_2_3_3	wh2_main_effect_tech_melee_attack_increase_def_lords_and_heroes	faction_to_force_own_unseen	5
tech_def_3_0_0	wh_main_effect_blackark_growth_tech	faction_to_force_own_unseen	8
tech_def_3_1_0	wh2_main_effect_tech_battle_morale_increase_def_elite_inf	faction_to_force_own_unseen	5
tech_def_3_1_1	wh2_main_effect_tech_armour_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_1_1	wh2_main_effect_tech_armour_increase_def_executioners_blackguard	faction_to_force_own_unseen	10
tech_def_3_1_2	wh2_main_effect_tech_melee_attack_increase_def_executioners	faction_to_force_own_unseen	5
tech_def_3_1_2	wh2_main_effect_tech_melee_damage_increase_def_executioners	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_damage_increase_def_blackguard	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_damage_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_defence_increase_def_blackguard	faction_to_force_own_unseen	5
tech_def_3_1_3	wh2_main_effect_tech_melee_defence_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_2_0	wh2_main_effect_tech_battle_morale_increase_def_beasts	faction_to_force_own_unseen	5
tech_def_3_2_0	wh2_main_effect_tech_battle_morale_increase_def_coldones	faction_to_force_own_unseen	5
tech_def_3_2_1	wh2_main_effect_tech_armour_increase_def_blackdragon	faction_to_force_own_unseen	5
tech_def_3_2_1	wh2_main_effect_tech_melee_damage_increase_def_blackdragon	faction_to_force_own_unseen	10
tech_def_3_2_2	wh2_main_effect_tech_melee_attack_increase_def_hydra	faction_to_force_own_unseen	5
tech_def_3_2_2	wh2_main_effect_tech_melee_defence_increase_def_hydra	faction_to_force_own_unseen	5
tech_def_3_2_3	wh2_main_effect_tech_unit_xp_levels_def_coldones	faction_to_character_own_unseen	2
tech_def_3_3_0	wh2_main_effect_slave_decline_modifier	faction_to_province_own_unseen	-15
tech_def_3_3_0	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own_unseen	5
tech_def_3_3_1	wh2_main_effect_tech_battle_morale_increase_def_lords_and_heroes	faction_to_force_own_unseen	10
tech_def_3_3_1	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	2
tech_def_3_3_1	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	2
tech_def_3_3_2_slaanesh	wh_main_effect_religion_conversion_chaos_technologies	faction_to_faction_own	1
tech_def_3_3_2_slaanesh	wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	faction_to_region_own_unseen	15
tech_def_3_3_2	wh_main_effect_religion_conversion_untainted_technologies	faction_to_faction_own	1
tech_def_3_3_2	wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	faction_to_region_own_unseen	15
tech_def_3_3_3	wh2_dlc10_effect_tech_unit_xp_levels_def_doomfire_warlocks_medusa	faction_to_character_own_unseen	2
tech_def_3_3_3	wh2_dlc10_effect_tech_ward_save_def_doomfire_warlocks_medusa	faction_to_force_own_unseen	10
tech_def_3_3_3	wh2_main_effect_agent_recruitment_xp_def_sorceress	faction_to_province_own_unseen	2
tech_def_3_3_3	wh_main_effect_military_force_winds_of_magic_depletion_mod_other	faction_to_force_own	5
tech_dlc03_bst_ancient_paths	wh_dlc03_effect_tech_army_campaign_beastpath_evasion_chance	faction_to_character_own_unseen	20
tech_dlc03_bst_ancient_paths	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_blessings_of_the_dark_gods	wh_main_effect_religion_conversion_chaos	faction_to_character_own	1
tech_dlc03_bst_blessings_of_the_dark_gods	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	20
tech_dlc03_bst_blood_grounds	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	15
tech_dlc03_bst_blood_grounds	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_bountiful_herdstone	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	10
tech_dlc03_bst_bountiful_herdstone	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_defiled_honour	wh_dlc03_effect_force_army_battle_missile_damage	faction_to_force_own_unseen	10
tech_dlc03_bst_defiled_honour	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_drunken_fury	wh2_main_effect_tech_melee_attack_increase_lords_heroes	faction_to_force_own_unseen	10
tech_dlc03_bst_drunken_fury	wh_dlc03_effect_melee_defense_increase_characters_beastmen	faction_to_force_own_unseen	10
tech_dlc03_bst_drunken_fury	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_embrace_of_chaos	wh_main_effect_religion_conversion_chaos	faction_to_character_own	1
tech_dlc03_bst_embrace_of_chaos	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	20
tech_dlc03_bst_encircled_prey	wh_dlc03_effect_tech_movement_speed_all	faction_to_force_own_unseen	10
tech_dlc03_bst_encircled_prey	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_fell_rituals	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	10
tech_dlc03_bst_fell_rituals	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_gaze_of_the_dark_gods	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	20
tech_dlc03_bst_gaze_of_the_dark_gods	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	10
tech_dlc03_bst_gore_drunk	wh_main_effect_force_all_recruitment_points	faction_to_force_own	1
tech_dlc03_bst_gore_drunk	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_grisly_trophies	wh_main_effect_force_unit_stat_morale_versus_men	faction_to_force_own_unseen	5
tech_dlc03_bst_grisly_trophies	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_heart_of_the_dark	wh_main_effect_tech_battle_morale_increase_lords_and_heroes	faction_to_force_own_unseen	10
tech_dlc03_bst_heart_of_the_dark	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_hives_of_pestilence	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own_unseen	3
tech_dlc03_bst_hives_of_pestilence	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_man_cleavers	wh_dlc03_effect_tech_melee_attack_increase_ungors_gors	faction_to_force_own_unseen	15
tech_dlc03_bst_man_cleavers	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
tech_dlc03_bst_messenger_of_the_bray	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-20
tech_dlc03_bst_messenger_of_the_bray	wh_main_effect_technology_research_points_mod	faction_to_faction_own_unseen	-5
