special_ability_phase_attribute_effects_tables
1
attribute	phase	attribute_type
immune_to_psychology	wh2_dlc15_army_abilities_groms_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_groms_waaagh	positive
fatigue_immune	wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	positive
unbreakable	wh2_dlc15_army_abilities_oath_of_replenishment_upgraded	positive
immune_to_psychology	wh2_dlc15_army_abilities_skarsniks_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_skarsniks_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_wurrzags_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_wurrzags_waaagh	positive
rampage	wh2_dlc15_lord_abilities_bad_trip	positive
causes_fear	wh2_dlc15_lord_abilities_dragonhorn	positive
immune_to_psychology	wh2_dlc15_lord_passive_language_of_da_boyz	positive
rampage	wh2_dlc15_unit_abilities_mimic_cold_blooded	negative
unbreakable	wh2_dlc15_unit_passive_ignore_pain	positive
causes_fear	wh2_dlc15_unit_passive_mimic_ethereal	positive
causes_terror	wh2_dlc15_unit_passive_mimic_ethereal	positive
strider	wh2_dlc15_unit_passive_mimic_ethereal	positive
immune_to_psychology	wh2_dlc15_unit_passive_monstrous_disease	positive
immune_to_psychology	wh2_dlc15_unit_passive_omen_of_hope	positive
rampage	wh2_dlc15_unit_passive_rubble_and_ruin_tier_3	positive
rampage	wh2_main_character_abilities_cold_blooded	negative
rampage	wh2_main_character_abilities_witchbrew	positive
causes_fear	wh2_main_faction_abilities_murderous_mastery	positive
stalk	wh2_main_item_abilities_armour_of_the_stars	positive
unspottable	wh2_main_item_abilities_armour_of_the_stars	positive
immune_to_psychology	wh2_main_item_abilities_pearl_of_infinite_bleakness	positive
immune_to_psychology	wh2_main_item_abilities_skavenbrew	positive
causes_fear	wh2_main_spell_high_magic_apotheosis	positive
immune_to_psychology	wh2_main_spell_ruin_death_frenzy	positive
stalk	wh2_main_spell_ruin_skitterleap_upgraded	positive
unspottable	wh2_main_spell_ruin_skitterleap_upgraded	positive
stalk	wh2_main_spell_ruin_skitterleap	positive
unspottable	wh2_main_spell_ruin_skitterleap	positive
stalk	wh2_main_unit_abilities_concealment_bombs	positive
unspottable	wh2_main_unit_abilities_concealment_bombs	positive
rampage	wh2_main_unit_abilities_fury_of_khaine	positive
rampage	wh2_main_unit_contact_witch_elf_poison	positive
rampage	wh2_main_unit_passive_primal_instincts	positive
immune_to_psychology	wh_dlc01_item_passive_the_crown_of_domination	positive
immune_to_psychology	wh_dlc03_unit_passive_bloodgreed	positive
fatigue_immune	wh_dlc03_unit_passive_drunken	positive
immune_to_psychology	wh_dlc03_unit_passive_primal_fury	positive
causes_terror	wh_dlc03_weapon_abilities_axe_of_men	positive
unbreakable	wh_dlc03_weapon_abilities_axe_of_men	positive
causes_fear	wh_dlc05_banner_passive_banner_of_the_hunter_king	positive
charge_reflector_vs_large	wh_dlc05_unit_passive_guardians_of_the_wildwood	positive
charge_reflector	wh_dlc06_lord_abilities_mighty_oath_stone	positive
stalk	wh_dlc06_lord_abilities_tricksy_traps	positive
unspottable	wh_dlc06_lord_abilities_tricksy_traps	positive
immune_to_psychology	wh_dlc06_rune_passive_rune_of_hearth_and_home	positive
immune_to_psychology	wh_dlc07_unit_passive_icon_of_devotion	positive
unbreakable	wh_dlc08_item_abilities_the_wintertooth_crown	positive
unbreakable	wh_dlc08_item_abilities_vial_of_troll_blood	positive
rampage	wh_dlc08_unit_abilities_berserk_iii	positive
immune_to_psychology	wh_main_banner_passive_banner_of_rage	positive
strider	wh_main_banner_passive_spider_banner	positive
strider	wh_main_item_abilities_cloak_of_mists_and_shadows	positive
unbreakable	wh_main_item_abilities_crown_of_command	positive
unbreakable	wh_main_item_abilities_potion_of_foolhardiness	positive
immune_to_psychology	wh_main_lord_passive_beloved_son_of_bretonnia	positive
immune_to_psychology	wh_main_lord_passive_high_king	positive
immune_to_psychology	wh_main_lore_passive_exorcism	positive
immune_to_psychology	wh_main_mark_passive_mark_of_khorne	positive
unbreakable	wh_main_rune_abilities_ancestor_rune	positive
immune_to_psychology	wh_main_rune_abilities_rune_of_courage	positive
unbreakable	wh_main_rune_abilities_rune_of_stoicism	positive
causes_terror	wh_main_spell_death_aspect_of_the_dreadknight_upgraded	positive
causes_terror	wh_main_spell_death_aspect_of_the_dreadknight	positive
unbreakable	wh_main_spell_light_light_of_battle_upgraded	positive
unbreakable	wh_main_spell_light_light_of_battle	positive
stalk	wh_main_spell_lil_waaagh_night_shroud_upgraded	positive
unspottable	wh_main_spell_lil_waaagh_night_shroud_upgraded	positive
stalk	wh_main_spell_lil_waaagh_night_shroud	positive
unspottable	wh_main_spell_lil_waaagh_night_shroud	positive
strider	wh_main_unit_abilities_black_nimbus	positive
immune_to_psychology	wh_main_unit_passive_frenzy	positive
causes_terror	wh_main_weapon_abilities_filth_mace	positive
unbreakable	wh_pro01_lord_passive_grombrindal_has_no_fear	positive
stalk	wh_pro04_unit_abilities_loecs_shroud	positive
unspottable	wh_pro04_unit_abilities_loecs_shroud	positive
