special_ability_to_special_ability_phase_junctions_tables
1
order	phase	special_ability
1	wh2_dlc09_lord_abilities_the_liber_mortis	wh2_dlc09_lord_abilities_the_liber_mortis
1	wh2_dlc09_lord_passive_my_will_be_done	wh2_dlc09_lord_passive_my_will_be_done
1	wh2_dlc09_lord_passive_the_curse	wh2_dlc09_lord_passive_the_curse
1	wh2_dlc09_lore_passive_the_restless_dead	wh2_dlc09_lore_passive_the_restless_dead
1	wh2_dlc09_quest_passive_full_hide	wh2_dlc09_quest_passive_full_hide
1	wh_main_spell_death_spirit_leech	wh2_dlc09_spell_death_spirit_leech_bound
1	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
1	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded
1	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
1	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded
1	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
1	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
1	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
1	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded
1	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
1	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded
1	wh2_dlc09_unit_passive_covenant_of_power	wh2_dlc09_unit_passive_covenant_of_power
1	wh2_dlc09_unit_passive_guardian	wh2_dlc09_unit_passive_guardian
1	wh2_dlc09_unit_passive_spirit_conduit	wh2_dlc09_unit_passive_spirit_conduit
1	wh2_dlc09_unit_passive_unbinding_skeleton_warriors	wh2_dlc09_unit_passive_unbinding_skeleton_warriors
2	wh_main_unit_passive_unbinding_weak	wh2_dlc09_unit_passive_unbinding_skeleton_warriors
3	wh_main_unit_passive_unbinding_critical	wh2_dlc09_unit_passive_unbinding_skeleton_warriors
1	wh2_dlc09_unit_passive_unbinding_ushabti	wh2_dlc09_unit_passive_unbinding_ushabti
2	wh_main_unit_passive_unbinding_weak_large	wh2_dlc09_unit_passive_unbinding_ushabti
3	wh_main_unit_passive_unbinding_critical_large	wh2_dlc09_unit_passive_unbinding_ushabti
1	wh2_dlc09_unit_passive_unstable_mark_ii_sand	wh2_dlc09_unit_passive_unstable_mark_ii_sand
1	wh2_dlc09_unit_passive_unstable_sand	wh2_dlc09_unit_passive_unstable_sand
1	wh2_dlc09_weapon_abilities_blade_of_setep	wh2_dlc09_weapon_abilities_blade_of_setep
1	wh2_dlc09_weapon_abilities_blessed_blade_of_ptra	wh2_dlc09_weapon_abilities_blessed_blade_of_ptra
1	wh2_dlc09_weapon_passive_the_liche_staff	wh2_dlc09_weapon_passive_the_liche_staff
1	wh2_dlc10_character_abilities_entangle	wh2_dlc10_character_abilities_entangle
1	wh2_dlc10_hero_passive_quicksilver_shot	wh2_dlc10_hero_passive_quicksilver_shot
1	wh2_dlc10_item_abilities_fear_of_aramar	wh2_dlc10_item_abilities_fear_of_aramar
1	wh2_dlc10_item_abilities_speed_of_lykos	wh2_dlc10_item_abilities_speed_of_lykos
1	wh2_dlc10_item_abilities_star_of_avelorn	wh2_dlc10_item_abilities_star_of_avelorn
1	wh2_dlc10_item_abilities_stave_of_avelorn	wh2_dlc10_item_abilities_stave_of_avelorn
1	wh2_dlc10_item_abilities_the_amber_trance	wh2_dlc10_item_abilities_the_amber_trance
1	wh2_dlc10_item_passive_amulet_of_dark_fire	wh2_dlc10_item_passive_amulet_of_dark_fire
1	wh2_dlc10_item_passive_banner_of_avelorn	wh2_dlc10_item_passive_banner_of_avelorn
1	wh2_dlc10_item_passive_dragon_slayers_fang	wh2_dlc10_item_passive_dragon_slayers_fang
1	wh2_dlc10_item_passive_gate_keepers_belt	wh2_dlc10_item_passive_gate_keepers_belt
1	wh2_dlc10_item_passive_gate_keepers_helm	wh2_dlc10_item_passive_gate_keepers_helm
1	wh2_dlc10_item_passive_ironbeards_bracers	wh2_dlc10_item_passive_ironbeards_bracers
1	wh2_dlc10_item_passive_ironbeards_ring	wh2_dlc10_item_passive_ironbeards_ring
1	wh2_dlc10_item_passive_ironwardens_shield	wh2_dlc10_item_passive_ironwardens_shield
1	wh2_dlc10_item_passive_old_guards_tankard	wh2_dlc10_item_passive_old_guards_tankard
1	wh2_dlc10_item_passive_prospectors_spyglass	wh2_dlc10_item_passive_prospectors_spyglass
1	wh2_dlc10_item_passive_ring_of_vengeance	wh2_dlc10_item_passive_ring_of_grimnir
1	wh2_dlc10_item_passive_shieldstone_of_isha	wh2_dlc10_item_passive_shieldstone_of_isha
1	wh2_dlc10_item_passive_old_guards_armour	wh2_dlc10_item_passive_starmetal_plate
1	wh2_dlc10_item_passive_stone_of_midnight	wh2_dlc10_item_passive_stone_of_midnight
1	wh2_dlc10_item_passive_the_shadow_crown	wh2_dlc10_item_passive_the_shadow_crown
1	wh2_dlc10_lord_abilities_gaze_of_khaine	wh2_dlc10_lord_abilities_gaze_of_khaine
1	wh2_dlc10_lord_abilities_oath_of_vengeance	wh2_dlc10_lord_abilities_oath_of_vengeance
1	wh2_dlc10_lord_abilities_red_ruin	wh2_dlc10_lord_abilities_red_ruin
1	wh2_dlc10_lord_passive_blood_frenzy_1	wh2_dlc10_lord_passive_blood_frenzy
2	wh2_dlc10_lord_passive_blood_frenzy_2	wh2_dlc10_lord_passive_blood_frenzy
3	wh2_dlc10_lord_passive_blood_frenzy_3	wh2_dlc10_lord_passive_blood_frenzy
1	wh2_dlc10_lord_passive_boon_of_isha	wh2_dlc10_lord_passive_boon_of_isha
1	wh2_dlc10_quest_abilities_insane_head	wh2_dlc10_quest_abilities_insane_head
1	wh2_dlc10_quest_abilities_regenerating_head_dummy	wh2_dlc10_quest_abilities_regenerating_head
1	wh2_dlc10_quest_passive_mother_of_flame	wh2_dlc10_quest_passive_mother_of_flame
1	wh2_dlc10_quest_passive_primal_rage_i	wh2_dlc10_quest_passive_primal_rage
2	wh2_dlc10_quest_passive_primal_rage_ii	wh2_dlc10_quest_passive_primal_rage
3	wh2_dlc10_quest_passive_primal_rage_iii	wh2_dlc10_quest_passive_primal_rage
1	wh2_dlc10_quest_passive_primal_rampage_i	wh2_dlc10_quest_passive_the_primal_rampage
2	wh2_dlc10_quest_passive_primal_rampage_ii	wh2_dlc10_quest_passive_the_primal_rampage
3	wh2_dlc10_quest_passive_primal_rampage_iii	wh2_dlc10_quest_passive_the_primal_rampage
1	wh2_dlc10_quest_passive_primal_rampage_i_hidden	wh2_dlc10_quest_passive_the_primal_rampage_hidden
1	wh2_dlc10_quest_passive_the_rats_overwhelm	wh2_dlc10_quest_passive_the_rats_overwhelm
1	wh2_main_spell_dark_magic_soul_stealer	wh2_dlc10_spell_bound_soul_stealer
1	wh_main_spell_death_soulblight	wh2_dlc10_spell_bound_soulblight
1	wh2_main_spell_dark_magic_word_of_pain	wh2_dlc10_spell_bound_word_of_pain
1	wh2_dlc10_unit_passive_abyssal_howl	wh2_dlc10_unit_passive_abyssal_howl
1	wh2_dlc10_hef_unit_passive_ability_guardian	wh2_dlc10_unit_passive_guardian
1	wh2_dlc10_unit_passive_the_trial_of_blades	wh2_dlc10_unit_passive_the_trial_of_blades
1	wh2_dlc10_unit_passive_unbinding_alith_anar_1	wh2_dlc10_unit_passive_unbinding_alith_anar
2	wh2_dlc10_unit_passive_unbinding_alith_anar_2	wh2_dlc10_unit_passive_unbinding_alith_anar
1	wh2_dlc10_unit_passive_unbreakable_hidden	wh2_dlc10_unit_passive_unbreakable_hidden
1	wh2_dlc10_weapon_passive_dragon_slayers_axe	wh2_dlc10_weapon_passive_dragon_slayers_axe
1	wh2_dlc10_weapon_passive_ironwardens_hammer	wh2_dlc10_weapon_passive_ironwardens_hammer
1	wh2_dlc10_weapon_passive_shadow_of_khaine	wh2_dlc10_weapon_passive_shadow_of_khaine
1	wh2_dlc10_weapon_passive_the_cursed_blade	wh2_dlc10_weapon_passive_the_cursed_blade
1	wh2_dlc11_army_abilities_shanty_verse_1	wh2_dlc11_army_abilities_shanty_verse_1
1	wh2_dlc11_army_abilities_shanty_verse_1	wh2_dlc11_army_abilities_shanty_verse_1_ai
1	wh2_dlc11_army_abilities_shanty_verse_2	wh2_dlc11_army_abilities_shanty_verse_2
1	wh2_dlc11_army_abilities_shanty_verse_2	wh2_dlc11_army_abilities_shanty_verse_2_ai
1	wh2_dlc11_army_abilities_shanty_verse_3	wh2_dlc11_army_abilities_shanty_verse_3
1	wh2_dlc11_army_abilities_shanty_verse_3	wh2_dlc11_army_abilities_shanty_verse_3_ai
1	wh2_dlc11_character_abilities_all_hands_hoay	wh2_dlc11_character_abilities_all_hands_hoay
1	wh2_dlc11_character_abilities_avast_ye	wh2_dlc11_character_abilities_avast_ye
1	wh2_dlc11_character_abilities_ballistic_enchantment	wh2_dlc11_character_abilities_ballistic_enchantment
1	wh2_dlc11_character_abilities_hornswaggle	wh2_dlc11_character_abilities_hornswaggle
1	wh2_dlc11_character_abilities_taunt	wh2_dlc11_character_abilities_taunt
1	wh2_dlc11_hero_abilities_more_powder	wh2_dlc11_hero_abilities_more_powder
1	wh2_dlc11_hero_passive_dead_eyes	wh2_dlc11_hero_passive_dead_eyes
1	wh2_dlc11_item_abilities_moonshine	wh2_dlc11_item_abilities_moonshine
1	wh2_dlc11_item_abilities_slann_gold	wh2_dlc11_item_abilities_slann_gold
1	wh2_dlc11_item_passive_helm_of_the_kraken	wh2_dlc11_item_passive_helm_of_the_kraken
1	wh2_dlc11_item_passive_the_bordeleaux_flabellum	wh2_dlc11_item_passive_the_bordeleaux_flabellum
1	wh2_dlc11_lord_abilities_claws_of_mourkain	wh2_dlc11_lord_abilities_claws_of_mourkain
1	wh2_dlc11_lord_abilities_dark_protection	wh2_dlc11_lord_abilities_dark_protection
1	wh2_dlc11_lord_abilities_dreaded_duelist	wh2_dlc11_lord_abilities_dreaded_duelist
1	wh2_dlc11_lord_abilities_ghoul_king_of_ushoran	wh2_dlc11_lord_abilities_ghoul_king_of_ushoran
1	wh2_dlc11_lord_abilities_heart_piercing	wh2_dlc11_lord_abilities_heart_piercing
1	wh2_dlc11_lord_abilities_lightning_reflexes	wh2_dlc11_lord_abilities_lightning_reflexes
1	wh2_dlc11_lord_abilities_mananns_luck	wh2_dlc11_lord_abilities_mananns_luck
1	wh2_dlc11_lord_abilities_power_siphon	wh2_dlc11_lord_abilities_power_siphon
1	wh2_dlc11_lord_abilities_seduction	wh2_dlc11_lord_abilities_seduction
1	wh2_dlc11_lord_abilities_song_of_enthrallment	wh2_dlc11_lord_abilities_song_of_enthrallment
1	wh2_dlc11_lord_abilities_spearfishers_net	wh2_dlc11_lord_abilities_spearfishers_net
1	wh2_dlc11_lord_abilities_storm_of_the_night	wh2_dlc11_lord_abilities_storm_of_the_night
1	wh2_dlc11_lord_abilities_transfix	wh2_dlc11_lord_abilities_transfix
1	wh2_dlc11_lord_passive_honour_or_death	wh2_dlc11_lord_passive_honour_or_death
1	wh2_dlc11_lord_passive_magical_void	wh2_dlc11_lord_passive_magical_void
1	wh2_dlc11_lord_passive_merciless_slaver	wh2_dlc11_lord_passive_merciless_slaver
1	wh2_dlc11_lore_passive_kiss_of_the_deep	wh2_dlc11_lore_passive_kiss_of_the_deep
1	wh2_dlc11_quest_battle_supply	wh2_dlc11_quest_battle_supply
1	wh2_dlc11_spell_deep_fog_of_the_damned	wh2_dlc11_spell_deep_fog_of_the_damned
1	wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	wh2_dlc11_spell_deep_fog_of_the_damned_upgraded
1	wh2_dlc11_spell_deep_spiteful_shot	wh2_dlc11_spell_deep_spiteful_shot
1	wh2_dlc11_spell_deep_spiteful_shot_upgraded	wh2_dlc11_spell_deep_spiteful_shot_upgraded
1	wh2_dlc11_unit_passive_abandon_ship	wh2_dlc11_unit_passive_abandon_ship
1	wh2_dlc11_unit_passive_extra_powder	wh2_dlc11_unit_passive_extra_powder
1	wh2_dlc11_unit_passive_gaseous_demise_buffer	wh2_dlc11_unit_passive_gaseous_demise
2	wh2_dlc11_unit_passive_gaseous_demise_death	wh2_dlc11_unit_passive_gaseous_demise
1	wh2_dlc11_unit_passive_noxious_unstable_buffer	wh2_dlc11_unit_passive_noxious_unstable_mark_ii
2	wh2_dlc11_unit_passive_noxious_unstable_mark_ii	wh2_dlc11_unit_passive_noxious_unstable_mark_ii
1	wh_main_lord_passive_the_hunger	wh2_dlc11_unit_passive_the_hunger
1	wh2_dlc11_unit_passive_the_ravenous_dead	wh2_dlc11_unit_passive_the_ravenous_dead
1	wh2_dlc11_unit_passive_unbinding_deckhands_mob	wh2_dlc11_unit_passive_unbinding_deckhands_mob
2	wh_main_unit_passive_unbinding_weak	wh2_dlc11_unit_passive_unbinding_deckhands_mob
3	wh_main_unit_passive_unbinding_critical	wh2_dlc11_unit_passive_unbinding_deckhands_mob
1	wh2_dlc11_unit_passive_unbinding_gunnery_mob	wh2_dlc11_unit_passive_unbinding_gunnery_mob
2	wh_main_unit_passive_unbinding_weak	wh2_dlc11_unit_passive_unbinding_gunnery_mob
3	wh_main_unit_passive_unbinding_critical	wh2_dlc11_unit_passive_unbinding_gunnery_mob
1	wh2_dlc11_unit_passive_unbinding_knights_of_the_realm	wh2_dlc11_unit_passive_unbinding_knights_of_the_realm
2	wh_main_unit_passive_unbinding_weak_large	wh2_dlc11_unit_passive_unbinding_knights_of_the_realm
3	wh_main_unit_passive_unbinding_critical_large	wh2_dlc11_unit_passive_unbinding_knights_of_the_realm
1	wh2_dlc11_unit_passive_unbinding_rotting_prometheans	wh2_dlc11_unit_passive_unbinding_rotting_prometheans
2	wh_main_unit_passive_unbinding_weak_large	wh2_dlc11_unit_passive_unbinding_rotting_prometheans
3	wh_main_unit_passive_unbinding_critical_large	wh2_dlc11_unit_passive_unbinding_rotting_prometheans
1	wh2_dlc11_unit_passive_unbinding_varghulf	wh2_dlc11_unit_passive_unbinding_varghulf
2	wh_main_unit_passive_unbinding_weak_large	wh2_dlc11_unit_passive_unbinding_varghulf
3	wh_main_unit_passive_unbinding_critical_large	wh2_dlc11_unit_passive_unbinding_varghulf
1	wh2_dlc11_weapon_passive_krakens_bane	wh2_dlc11_weapon_passive_krakens_bane
1	wh2_dlc12_character_abilities_brass_orb	wh2_dlc12_character_abilities_brass_orb_upgrade
1	wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones	wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones
1	wh2_dlc12_item_passive_braid_of_bordeleaux	wh2_dlc12_item_passive_braid_of_bordeleaux
1	wh2_dlc12_item_passive_golden_death_mask	wh2_dlc12_item_passive_golden_death_mask
1	wh2_dlc12_item_passive_mask_of_heavens	wh2_dlc12_item_passive_mask_of_heavens
1	wh2_dlc12_item_passive_plaque_of_sotek	wh2_dlc12_item_passive_plaque_of_sotek
1	wh2_dlc12_lord_abilities_focus_instincts	wh2_dlc12_lord_abilities_focus_instincts
1	wh2_dlc12_lord_abilities_master_of_the_skies	wh2_dlc12_lord_abilities_master_of_the_skies
1	wh2_dlc12_lord_abilities_unlimited_power	wh2_dlc12_lord_abilities_unlimited_power
1	wh2_dlc12_lord_abilities_warriors_crest	wh2_dlc12_lord_abilities_warriors_crest
1	wh2_dlc12_lord_passive_adrenaline_rush	wh2_dlc12_lord_passive_adrenaline_rush
1	wh2_dlc12_lord_passive_overload	wh2_dlc12_lord_passive_overload
1	wh2_dlc12_lord_passive_secondwind_serum	wh2_dlc12_lord_passive_secondwind_serum
1	wh2_dlc12_unit_abilities_refuse_to_die	wh2_dlc12_unit_abilities_refuse_to_die
1	wh2_dlc12_unit_abilities_shield_of_chaqua	wh2_dlc12_unit_abilities_shield_of_chaqua
1	wh2_dlc12_unit_abilities_toad_rage	wh2_dlc12_unit_abilities_toad_rage
1	wh2_dlc12_unit_passive_arcane_configuration	wh2_dlc12_unit_passive_arcane_configuration
1	wh2_dlc12_unit_passive_blade_swirl	wh2_dlc12_unit_passive_blade_swirl
1	wh2_dlc12_unit_passive_demagoguery	wh2_dlc12_unit_passive_demagoguery
1	wh2_dlc12_unit_passive_endless_drum	wh2_dlc12_unit_passive_endless_drum
1	wh2_dlc12_unit_passive_portent_of_warding	wh2_dlc12_unit_passive_portent_of_warding
1	wh2_dlc12_unit_passive_the_best_defence	wh2_dlc12_unit_passive_the_best_defence
1	wh2_dlc12_unit_passive_witness_me	wh2_dlc12_unit_passive_witness_me
1	wh2_dlc12_weapon_passive_blade_of_the_ancient_skies	wh2_dlc12_weapon_passive_blade_of_the_ancient_skies
1	wh2_dlc12_weapon_passive_blade_of_the_serpents_tongue	wh2_dlc12_weapon_passive_blade_of_the_serpents_tongue
1	wh2_dlc13_army_abilities_protection_of_quetzl	wh2_dlc13_army_abilities_protection_of_quetzl
1	wh2_dlc13_army_abilities_protection_of_quetzl_upgraded	wh2_dlc13_army_abilities_protection_of_quetzl_upgraded
1	wh2_dlc13_character_abilities_patch_up	wh2_dlc13_character_abilities_patch_up
1	wh2_dlc13_character_ability_hunters_call	wh2_dlc13_character_ability_hunters_call
1	wh2_dlc13_final_battle_abilities_shield_of_the_old_ones	wh2_dlc13_final_battle_abilities_shield_of_the_old_ones
1	wh2_dlc13_final_battle_character_abilities_jorek_ammo_replenishment	wh2_dlc13_final_battle_character_abilities_jorek_ammo_replenishment
1	wh2_dlc13_final_battle_character_abilities_rodrik_ward_save_reduction	wh2_dlc13_final_battle_character_abilities_rodrik_ward_save_reduction
1	wh2_dlc13_item_abilities_shield_of_aeons	wh2_dlc13_item_abilities_shield_of_aeons
1	wh2_dlc13_item_passive_band_of_loyalty	wh2_dlc13_item_passive_band_of_loyalty
1	wh2_dlc13_item_passive_golden_tributes	wh2_dlc13_item_passive_golden_tributes
1	wh2_dlc13_armour_passive_obsinite_plate	wh2_dlc13_item_passive_obsinite_plate
1	wh2_dlc13_item_passive_resilient_spirit	wh2_dlc13_item_passive_resilient_spirit
1	wh2_dlc13_lord_abilities_aura_of_inertia	wh2_dlc13_lord_abilities_aura_of_inertia
1	wh2_dlc13_lord_abilities_funnel_of_flame	wh2_dlc13_lord_abilities_funnel_of_flame
1	wh2_dlc13_lord_abilities_hail_of_fire	wh2_dlc13_lord_abilities_hail_of_fire
1	wh2_dlc13_lord_abilities_hunters_snare	wh2_dlc13_lord_abilities_hunters_snare
1	wh2_dlc13_lord_abilities_hunters_trap	wh2_dlc13_lord_abilities_hunters_trap
1	wh2_dlc13_lord_abilities_miasma_of_despair	wh2_dlc13_lord_abilities_miasma_of_despair
1	wh2_dlc13_lord_abilities_monstrous_strength	wh2_dlc13_lord_abilities_monstrous_strength
1	wh2_dlc13_lord_abilities_primal_roar	wh2_dlc13_lord_abilities_primal_roar
1	wh2_dlc13_lord_abilities_rock_of_itza	wh2_dlc13_lord_abilities_rock_of_itza
1	wh2_dlc13_lord_passive_endurance_aura	wh2_dlc13_lord_passive_endurance_aura
1	wh2_dlc13_lord_passive_fleet_footed	wh2_dlc13_lord_passive_fleet_footed
1	wh2_dlc13_lord_passive_merely_a_fleshwound	wh2_dlc13_lord_passive_merely_a_fleshwound
1	wh2_dlc13_lord_passive_to_the_death	wh2_dlc13_lord_passive_to_the_death
1	wh2_dlc13_lord_passive_trueshot_aura	wh2_dlc13_lord_passive_trueshot_aura
1	wh2_dlc13_unit_abilities_bathed_in_blood	wh2_dlc13_unit_abilities_bathed_in_blood
1	wh2_dlc13_unit_abilities_blinding_radiance	wh2_dlc13_unit_abilities_blinding_radiance
1	wh2_dlc13_unit_passive_dread_aversion	wh2_dlc13_unit_passive_dread_aversion
1	wh2_dlc13_unit_passive_grim_resolve	wh2_dlc13_unit_passive_grim_resolve
1	wh2_dlc13_weapon_abilities_averland_runefang	wh2_dlc13_weapon_abilities_averland_runefang
1	wh2_dlc13_weapon_abilities_drakwald_runefang	wh2_dlc13_weapon_abilities_drakwald_runefang
1	wh2_dlc13_weapon_abilities_hochland_runefang	wh2_dlc13_weapon_abilities_hochland_runefang
1	wh2_dlc13_weapon_abilities_mace_of_ulumak	wh2_dlc13_weapon_abilities_mace_of_ulumak
1	wh2_dlc13_weapon_abilities_nordland_runefang	wh2_dlc13_weapon_abilities_nordland_runefang
1	wh2_dlc13_weapon_abilities_ostermark_runefang	wh2_dlc13_weapon_abilities_ostermark_runefang
1	wh2_dlc13_weapon_abilities_ostland_runefang	wh2_dlc13_weapon_abilities_ostland_runefang
1	wh2_dlc13_weapon_abilities_talabecland_runefang	wh2_dlc13_weapon_abilities_talabecland_runefang
1	wh2_dlc13_weapon_abilities_wissenland_runefang	wh2_dlc13_weapon_abilities_wissenland_runefang
1	wh2_dlc13_weapon_passive_solland_runefang	wh2_dlc13_weapon_passive_solland_runefang
1	wh2_dlc13_weapon_passive_stirland_runefang	wh2_dlc13_weapon_passive_stirland_runefang
1	wh2_dlc14_character_abilities_from_the_shadows	wh2_dlc14_character_abilities_from_the_shadows
1	wh2_dlc14_character_passive_discombobulate	wh2_dlc14_character_passive_discombobulate
1	wh2_dlc14_item_passive_idol_of_darkness	wh2_dlc14_item_passive_idol_of_darkness
1	wh2_dlc14_item_passive_the_cloak_of_shadows	wh2_dlc14_item_passive_the_cloak_of_shadows
1	wh2_dlc14_lord_abilities_beastslaver	wh2_dlc14_lord_abilities_beastslaver
1	wh2_dlc14_lord_abilities_bloodstorm	wh2_dlc14_lord_abilities_bloodstorm
1	wh2_dlc14_lord_abilities_deathmasters_sigil	wh2_dlc14_lord_abilities_deathmasters_sigil
1	wh2_dlc14_lord_abilities_looming_dread	wh2_dlc14_lord_abilities_looming_dread
1	wh2_dlc14_lord_abilities_reaper_of_souls	wh2_dlc14_lord_abilities_reaper_of_souls
1	wh2_dlc14_lord_abilities_the_blood_price	wh2_dlc14_lord_abilities_the_blood_price
1	wh2_dlc14_lord_abilities_the_daemons_curse	wh2_dlc14_lord_abilities_the_daemons_curse
1	wh2_dlc14_lord_abilities_whiplash	wh2_dlc14_lord_abilities_whiplash
1	wh2_dlc14_lord_passive_fleur_de_lys_banner	wh2_dlc14_lord_passive_fleur_de_lys_banner
1	wh2_dlc14_lord_passive_tzarkan	wh2_dlc14_lord_passive_tzarkan
1	wh2_dlc14_lore_passive_toxic_rain	wh2_dlc14_lore_passive_toxic_rain
1	wh2_dlc14_spell_ruin_flensing_ruin	wh2_dlc14_spell_ruin_flensing_ruin
1	wh2_dlc14_spell_ruin_flensing_ruin_upgraded	wh2_dlc14_spell_ruin_flensing_ruin_upgraded
1	wh2_dlc14_spell_stealth_armour_of_darkness	wh2_dlc14_spell_stealth_armour_of_darkness
1	wh2_dlc14_spell_stealth_armour_of_darkness_upgraded	wh2_dlc14_spell_stealth_armour_of_darkness_upgraded
1	wh2_dlc14_spell_stealth_brittle_bone	wh2_dlc14_spell_stealth_brittle_bone
1	wh2_dlc14_spell_stealth_brittle_bone_upgraded	wh2_dlc14_spell_stealth_brittle_bone_upgraded
1	wh2_dlc14_unit_abilities_seismic_snare	wh2_dlc14_unit_abilities_seismic_snare
1	wh2_dlc14_unit_abilities_wail_of_malice	wh2_dlc14_unit_abilities_wail_of_malice
1	wh2_dlc14_unit_abilities_warp_quake	wh2_dlc14_unit_abilities_warp_quake
1	wh2_dlc14_unit_passive_aura_of_agony	wh2_dlc14_unit_passive_aura_of_agony
1	wh2_dlc14_unit_passive_aura_of_ardour	wh2_dlc14_unit_passive_aura_of_ardour
