unit_abilities_tables
16
key	requires_effect_enabling	icon-name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
wh2_dlc09_faction_passive_realm_of_souls_tier_1	False	wh2_dlc09_faction_passive_realm_of_souls_tier_1		wh_type_regeneration		wh_main_anc_group_common	True	False	faction		False
wh2_dlc09_faction_passive_realm_of_souls_tier_2	False	wh2_dlc09_faction_passive_realm_of_souls_tier_2		wh_type_regeneration		wh_main_anc_group_uncommon	True	False	faction		False
wh2_dlc09_faction_passive_realm_of_souls_tier_3	False	wh2_dlc09_faction_passive_realm_of_souls_tier_3		wh_type_regeneration		wh_main_anc_group_rare	True	False	faction		False
wh2_dlc09_item_abilities_amulet_of_phastah	False	wh2_dlc09_item_abilities_amulet_of_phastah		wh_type_area_of_hexes		wh_main_anc_group_unique	True	False	item		False
wh2_dlc09_item_abilities_cloak_of_the_dunes	False	wh2_dlc09_item_abilities_cloak_of_the_dunes		wh_type_hiding		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc09_item_abilities_elixir_of_might	False	wh2_dlc09_item_abilities_elixir_of_might		wh_type_augment		wh_main_anc_group_common	True	False	item		False
wh2_dlc09_item_abilities_enkhils_kanopi	False	wh2_dlc09_item_abilities_enkhils_kanopi		wh_type_area_of_ward_save		wh_main_anc_group_rare	True	False	item		False
wh2_dlc09_item_abilities_hieratic_jar	False	wh2_dlc09_item_abilities_hieratic_jar		wh_type_regeneration		wh_main_anc_group_common	True	False	item		False
wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations	False	wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations		wh_type_area_of_augments_of_the_winds		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc09_item_abilities_staff_of_nagash	False	wh2_dlc09_item_abilities_staff_of_nagash		wh_type_augment_of_the_winds		wh_main_anc_group_unique	True	False	character		False
wh2_dlc09_item_passive_crown_of_nehekhara	False	wh2_dlc09_item_passive_crown_of_nehekhara		wh_type_area_of_augments		wh_main_anc_group_unique	True	False	item		False
wh2_dlc09_item_passive_lucky_skullhelm	False	wh_magic_item_passive_armour		wh_type_augment		wh_main_anc_group_unique	True	False	item		False
wh2_dlc09_item_passive_scorpion_armour	False	wh_magic_item_passive_armour		wh_type_ward_save		wh_main_anc_group_unique	True	False	item		False
wh2_dlc09_item_passive_vambraces_of_the_sun	False	wh_magic_item_passive_armour		wh_type_area_of_hexes		wh_main_anc_group_unique	True	False	item		False
wh2_dlc09_lord_abilities_sand_storm	False	wh2_dlc09_lord_abilities_sand_storm		wh_type_vortex		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc09_lord_abilities_the_liber_mortis	False	wh2_dlc09_lord_abilities_the_liber_mortis		wh_type_area_of_ward_save		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc09_lord_abilities_venom_wave	False	wh2_dlc09_lord_abilities_venom_wave		wh_type_explosion		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc09_lord_abilities_wrath_of_ptra	False	wh2_dlc09_lord_abilities_wrath_of_ptra		wh_type_explosion		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc09_lord_passive_my_will_be_done	False	wh2_dlc09_lord_passive_my_will_be_done		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc09_lord_passive_the_curse	True	wh2_dlc09_lord_passive_the_curse		wh_type_area_of_direct_damage		wh_main_anc_group_common	True	False	lord		False
wh2_dlc09_lore_passive_the_restless_dead	True	wh2_dlc09_lore_passive_the_restless_dead		wh_type_area_of_regeneration		wh_main_anc_group_common	True	False	lore		False
wh2_dlc09_quest_passive_full_hide	False	wh_main_unit_passive_unstable		wh_type_hiding		wh_main_anc_group_common	False	False	unit		False
wh2_dlc09_spell_death_spirit_leech_bound	False	wh_main_spell_death_spirit_leech		wh_type_direct_damage		wh_main_anc_group_common	False	False	bound		False
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	True	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh_main_anc_group_common	True	False	spell		False
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	True	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	wh_main_anc_group_common	True	False	spell		False
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	True	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	wh_type_ward_save	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh_main_anc_group_common	True	False	spell		False
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	True	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection		wh_type_ward_save	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	wh_main_anc_group_common	True	False	spell		False
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	True	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh_main_anc_group_uncommon	True	False	spell		False
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	True	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting		wh_type_augment	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	wh_main_anc_group_uncommon	True	False	spell		False
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	True	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	wh_type_vortex	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_anc_group_rare	True	False	spell		False
wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded	True	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm		wh_type_vortex	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm	wh_main_anc_group_rare	True	False	spell		False
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	True	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	wh_type_area_of_hexes	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usekphs_incantation_of_desiccation	wh_main_anc_group_rare	True	False	spell		False
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	True	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation		wh_type_area_of_hexes	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usekphs_incantation_of_desiccation	wh_main_anc_group_rare	True	False	spell		False
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	True	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	wh_type_direct_damage	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_uncommon	True	False	spell		False
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	True	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance		wh_type_direct_damage	spell_previews/nehekhara/wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	wh_main_anc_group_uncommon	True	False	spell		False
wh2_dlc09_unit_abilities_death_from_above	False	wh2_dlc09_unit_abilities_death_from_above		wh_type_bombardment		wh_main_anc_group_common	True	False	unit		False
wh2_dlc09_unit_passive_covenant_of_power	False	wh2_dlc09_unit_passive_covenant_of_power		wh_type_augment_of_the_winds		wh_main_anc_group_common	False	False	unit		False
wh2_dlc09_unit_passive_guardian	False	wh2_dlc09_unit_passive_guardian		wh_type_area_of_ward_save		wh_main_anc_group_uncommon	True	False	unit		False
wh2_dlc09_unit_passive_spirit_conduit	False	wh2_dlc09_unit_passive_spirit_conduit		wh_type_augment_of_the_winds		wh_main_anc_group_common	False	False	unit		False
wh2_dlc09_unit_passive_unbinding_skeleton_warriors	False	unbinding		wh_type_direct_damage		wh_main_anc_group_common	False	False	unit		False
wh2_dlc09_unit_passive_unbinding_ushabti	False	unbinding		wh_type_direct_damage		wh_main_anc_group_common	False	False	unit		False
wh2_dlc09_unit_passive_unstable_mark_ii_sand	False	wh_main_unit_passive_unstable_mark_ii		wh_type_direct_damage		wh_main_anc_group_common	False	False	unit		False
wh2_dlc09_unit_passive_unstable_sand	False	wh_main_unit_passive_unstable		wh_type_direct_damage		wh_main_anc_group_common	False	False	unit		False
wh2_dlc09_weapon_abilities_blade_of_setep	False	wh2_dlc09_weapon_abilities_blade_of_setep		wh_type_hex		wh_main_anc_group_uncommon	True	False	weapon		False
wh2_dlc09_weapon_abilities_blessed_blade_of_ptra	False	wh2_dlc09_weapon_abilities_blessed_blade_of_ptra		wh_type_augment		wh_main_anc_group_unique	True	False	weapon		False
wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan	False	wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan		wh_type_augment		wh_main_anc_group_unique	True	False	weapon		False
wh2_dlc09_weapon_abilities_venom_staff	False	wh2_dlc09_weapon_abilities_venom_staff		wh_type_magic_missiles		wh_main_anc_group_unique	True	False	weapon		False
wh2_dlc09_weapon_passive_the_liche_staff	False	wh_magic_item_passive_weapon		wh_type_area_of_hexes		wh_main_anc_group_unique	True	False	weapon		False
wh2_dlc10_character_abilities_entangle	True	wh2_dlc10_character_abilities_entangle		wh_type_area_of_hexes		wh_main_anc_group_rare	True	False	character		False
wh2_dlc10_hero_passive_quicksilver_shot	True	wh2_dlc10_hero_passive_quicksilver_shot		wh_type_area_of_augments		wh_main_anc_group_common	True	False	hero		False
wh2_dlc10_item_abilities_fear_of_aramar	False	wh2_dlc10_item_abilities_fear_of_aramar		wh_type_hex		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc10_item_abilities_horn_of_the_ancestors	True	wh2_dlc10_item_abilities_horn_of_the_ancestors		wh_type_augment		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_abilities_sceptre_of_stone	True	wh2_dlc10_item_abilities_sceptre_of_stone		wh_type_bombardment		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_abilities_speed_of_lykos	False	wh2_dlc10_item_abilities_speed_of_lykos		wh_type_hiding		wh_main_anc_group_common	True	False	item		False
wh2_dlc10_item_abilities_star_of_avelorn	False	wh2_dlc10_item_abilities_star_of_avelorn		wh_type_area_of_regeneration		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_abilities_stave_of_avelorn	False	wh2_dlc10_item_abilities_stave_of_avelorn		wh_type_augment		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_abilities_the_amber_trance	False	wh2_dlc10_item_abilities_the_amber_trance		wh_type_area_of_hexes		wh_main_anc_group_common	True	False	item		False
wh2_dlc10_item_bound_arnizipals_black_horror	False	wh2_dlc10_item_bound_arnizipals_black_horror		wh_type_wind		wh_main_anc_group_rare	True	False	bound		False
wh2_dlc10_item_bound_assault_of_stone	False	wh2_dlc10_item_bound_assault_of_stone		wh_type_bombardment		wh_main_anc_group_uncommon	True	False	bound		False
wh2_dlc10_item_bound_blast	False	wh2_dlc10_item_bound_blast		wh_type_magic_missile		wh_main_anc_group_common	True	False	bound		False
wh2_dlc10_item_passive_amulet_of_dark_fire	False	wh_magic_item_passive_talisman		wh_type_area_of_ward_save		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_passive_banner_of_avelorn	False	wh2_dlc10_item_passive_banner_of_avelorn		wh_type_area_of_augments_of_the_winds		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc10_item_passive_dragon_slayers_fang	True	wh_magic_item_passive_talisman		wh_type_augment		wh_main_anc_group_rare	True	False	item		False
wh2_dlc10_item_passive_gate_keepers_belt	True	wh_magic_item_passive_enchanted		wh_type_ward_save		wh_main_anc_group_rare	True	False	item		False
wh2_dlc10_item_passive_gate_keepers_helm	True	wh_magic_item_passive_armour		wh_type_area_of_ward_save		wh_main_anc_group_rare	True	False	item		False
wh2_dlc10_item_passive_ironbeards_bracers	True	wh_magic_item_passive_enchanted		wh_type_ward_save		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc10_item_passive_ironbeards_ring	True	wh_magic_item_passive_talisman		wh_type_area_of_ward_save_hex		wh_main_anc_group_common	True	False	item		False
wh2_dlc10_item_passive_ironwardens_shield	True	wh_magic_item_passive_armour		wh_type_ward_save		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc10_item_passive_old_guards_tankard	True	wh_magic_item_passive_talisman		wh_type_regeneration		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc10_item_passive_prospectors_spyglass	True	wh_magic_item_passive_enchanted		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	item		False
wh2_dlc10_item_passive_ring_of_grimnir	True	wh_magic_item_passive_talisman		wh_type_area_of_augments		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_passive_shieldstone_of_isha	False	wh_magic_item_passive_talisman		wh_type_area_of_ward_save		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_passive_starmetal_plate	True	wh_magic_item_passive_armour		wh_type_area_of_hexes		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_passive_stone_of_midnight	False	wh_magic_item_passive_talisman		wh_type_area_of_ward_save		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_item_passive_the_shadow_crown	False	wh_magic_item_passive_enchanted		wh_type_area_of_augments		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_lord_abilities_deadly_mislead	True	wh2_dlc10_lord_abilities_mislead		wh_type_hiding		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc10_lord_abilities_gaze_of_khaine	False	wh2_dlc10_lord_abilities_gaze_of_khaine		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc10_lord_abilities_mislead	True	wh2_dlc10_lord_abilities_mislead		wh_type_hiding		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc10_lord_abilities_oath_of_vengeance	False	wh2_dlc10_lord_abilities_oath_of_vengeance		wh_type_hex		wh_main_anc_group_common	True	False	lord		False
wh2_dlc10_lord_abilities_red_ruin	False	wh2_dlc10_lord_abilities_red_ruin		wh_type_augment		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc10_lord_passive_blood_frenzy	True	wh2_dlc10_lord_passive_blood_frenzy		wh_type_augment		wh_main_anc_group_uncommon	True	False	lord		False
wh2_dlc10_lord_passive_boon_of_isha	False	wh2_dlc10_lord_passive_boon_of_isha		wh_type_area_of_augments		wh_main_anc_group_unique	True	False	lord		False
wh2_dlc10_quest_abilities_fiery_head	False	wh2_dlc10_quest_abilities_fiery_head		wh_type_vortex		wh_main_anc_group_unique	True	False	quest		False
wh2_dlc10_quest_abilities_flame_storm	False	wh_main_spell_fire_flame_storm		wh_type_vortex	spell_previews/fire/wh_main_spell_fire_flame_storm	wh_main_anc_group_rare	True	False	bound		False
wh2_dlc10_quest_abilities_insane_head	False	wh2_dlc10_quest_abilities_insane_head		wh_type_area_of_hexes		wh_main_anc_group_unique	True	False	quest		False
wh2_dlc10_quest_abilities_magic_fiery_convocation	False	wh2_main_spell_high_magic_fiery_convocation		wh_type_wind	spell_previews/high/wh2_main_spell_high_magic_fiery_convocation	wh_main_anc_group_rare	True	False	bound		False
wh2_dlc10_quest_abilities_regenerating_head	False	wh2_dlc10_quest_abilities_regenerating_head		wh_type_area_of_regeneration		wh_main_anc_group_unique	True	False	quest		False
wh2_dlc10_quest_abilities_unidentified_hydra_head	False	wh2_dlc10_quest_abilities_unidentified_hydra_head		wh_type_vortex		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_quest_abilities_warp_hunger	False	wh2_dlc10_quest_warp_hunger		wh_type_augment		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_quest_passive_mother_of_flame	False	wh2_dlc10_quest_passive_mother_of_flame		wh_type_area_of_augments		wh_main_anc_group_unique	True	False	quest		False
wh2_dlc10_quest_passive_primal_rage	False	wh2_dlc10_quest_passive_primal_rage		wh_type_augment		wh_main_anc_group_unique	True	False	item		False
wh2_dlc10_quest_passive_the_primal_rampage	False	wh2_dlc10_quest_passive_the_invincible_rampage		wh_type_augment		wh_main_anc_group_unique	True	False	quest		False
wh2_dlc10_quest_passive_the_primal_rampage_hidden	False	wh2_dlc10_quest_passive_the_invincible_rampage		wh_type_augment		wh_main_anc_group_unique	True	True	quest		False
wh2_dlc10_quest_passive_the_rats_overwhelm	False	wh2_main_unit_passive_the_rats_emerge		wh_type_augment		wh_main_anc_group_unique	True	False	quest		False
wh2_dlc10_spell_bound_lesser_doombolt	False	wh2_main_spell_dark_magic_doombolt		wh_type_bombardment		wh_main_anc_group_uncommon	False	False	bound		False
wh2_dlc10_spell_bound_magic_fiery_convocation	False	wh2_main_spell_high_magic_fiery_convocation		wh_type_wind	spell_previews/high/wh2_main_spell_high_magic_fiery_convocation	wh_main_anc_group_rare	True	False	bound		False
wh2_dlc10_spell_bound_soul_stealer	False	wh2_main_spell_dark_magic_soul_stealer		wh_type_area_of_direct_damage	spell_previews/dark/wh2_main_spell_dark_magic_soul_stealer	wh_main_anc_group_rare	False	False	bound		False
wh2_dlc10_spell_bound_soulblight	False	wh_main_spell_death_soulblight		wh_type_area_of_hexes		wh_main_anc_group_uncommon	False	False	bound		False
wh2_dlc10_spell_bound_word_of_pain	False	wh2_main_spell_dark_magic_word_of_pain		wh_type_hex	spell_previews/dark/wh2_main_spell_dark_magic_word_of_pain	wh_main_anc_group_uncommon	False	False	bound		False
wh2_dlc10_unit_abilities_frost_breath	False	wh2_dlc10_unit_abilities_frost_breath		wh_type_magic_missiles		wh_main_anc_group_uncommon	False	False	unit		False
wh2_dlc10_unit_abilities_frost_wyrm_breath	False	wh2_dlc10_unit_abilities_frost_wyrm_breath		wh_type_magic_missiles		wh_main_anc_group_uncommon	False	False	unit		False
wh2_dlc10_unit_passive_abyssal_howl	False	wh2_dlc10_unit_passive_abyssal_howl		wh_type_area_of_hexes		wh_main_anc_group_uncommon	False	False	unit		False
wh2_dlc10_unit_passive_guardian	False	wh2_dlc09_unit_passive_guardian		wh_type_area_of_ward_save		wh_main_anc_group_uncommon	True	False	unit		False
wh2_dlc10_unit_passive_the_trial_of_blades	False	wh2_dlc10_unit_passive_the_trial_of_blades		wh_type_augment		wh_main_anc_group_common	False	False	unit		False
wh2_dlc10_unit_passive_unbinding_alith_anar	False	unbinding		wh_type_direct_damage		wh_main_anc_group_common	False	False	unit		False
wh2_dlc10_unit_passive_unbreakable_hidden	False	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_common	False	True	unit		False
wh2_dlc10_weapon_abilities_sword_of_khaine	True	wh2_dlc10_weapon_abilities_sword_of_khaine		wh_type_vortex		wh_main_anc_group_unique	True	False	weapon		False
wh2_dlc10_weapon_abilities_the_moonbow	False	wh2_dlc10_weapon_abilities_the_moonbow		wh_type_magic_missile		wh_main_anc_group_unique	True	False	weapon		False
wh2_dlc10_weapon_passive_dragon_slayers_axe	True	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_rare	True	False	weapon		False
wh2_dlc10_weapon_passive_ironwardens_hammer	True	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_rare	True	False	weapon		False
wh2_dlc10_weapon_passive_shadow_of_khaine	False	wh_magic_item_passive_weapon		wh_type_augment		wh_main_anc_group_unique	True	True	weapon		False
wh2_dlc10_weapon_passive_the_cursed_blade	False	wh_magic_item_passive_weapon		wh_type_area_of_direct_damage		wh_main_anc_group_unique	True	False	weapon		False
wh2_dlc11_army_abilities_norse_roar	False	wh2_dlc11_army_abilities_norse_roar		wh_type_wind		wh_main_anc_group_uncommon	True	False	army		False
wh2_dlc11_army_abilities_rod_of_the_storm	False	wh2_main_spell_bound_rod_of_the_storm		wh_type_bombardment		wh_main_anc_group_rare	True	False	army		False
wh2_dlc11_army_abilities_sartosa_grapeshot	False	wh2_dlc11_army_abilities_sartosa_grapeshot		wh_type_wind		wh_main_anc_group_uncommon	True	False	army		False
wh2_dlc11_army_abilities_shanty_verse_1	True	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	True	False	army		False
wh2_dlc11_army_abilities_shanty_verse_1_ai	True	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	True	False	army		False
wh2_dlc11_army_abilities_shanty_verse_2	True	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	True	False	army		False
wh2_dlc11_army_abilities_shanty_verse_2_ai	True	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	True	False	army		False
wh2_dlc11_army_abilities_shanty_verse_3	True	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	True	False	army		False
wh2_dlc11_army_abilities_shanty_verse_3_ai	True	wh2_dlc11_army_abilities_shanty_verse_1		wh_type_area_of_augments		wh_main_anc_group_rare	True	False	army		False
wh2_dlc11_army_abilities_wraith_storm	False	wh2_dlc11_army_abilities_wraith_storm		wh_type_bombardment		wh_main_anc_group_uncommon	False	False	army		False
wh2_dlc11_army_abilities_zhufbar_42_pounders	False	wh2_dlc11_army_abilities_zhufbar_42_pounders		wh_type_wind		wh_main_anc_group_uncommon	True	False	army		False
wh2_dlc11_character_abilities_all_hands_hoay	True	wh2_dlc11_character_abilities_all_hands_hoay		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc11_character_abilities_avast_ye	True	wh2_dlc11_character_abilities_avast_ye		wh_type_area_of_augments		wh_main_anc_group_common	True	False	character		False
wh2_dlc11_character_abilities_ballistic_enchantment	True	wh2_dlc11_character_abilities_ballistic_enchantment		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc11_character_abilities_beyond_the_realm	False	wh2_dlc11_character_abilities_beyond_the_realm		wh_type_augment		wh_main_anc_group_rare	True	False	character		False
wh2_dlc11_character_abilities_cackle_fruit	True	wh2_dlc11_character_abilities_cackle_fruit		wh_type_magic_missile		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc11_character_abilities_ghosts_of_the_past_0	True	wh2_dlc11_character_abilities_ghosts_of_the_past_0		wh_type_augment		wh_main_anc_group_rare	True	False	character		False
wh2_dlc11_character_abilities_ghosts_of_the_past_1	True	wh2_dlc11_character_abilities_ghosts_of_the_past_0		wh_type_augment		wh_main_anc_group_rare	True	False	character		False
wh2_dlc11_character_abilities_ghosts_of_the_past_2	True	wh2_dlc11_character_abilities_ghosts_of_the_past_0		wh_type_augment		wh_main_anc_group_rare	True	False	character		False
wh2_dlc11_character_abilities_hornswaggle	True	wh2_dlc11_character_abilities_hornswaggle		wh_type_hex		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc11_character_abilities_pyromaniac	True	wh2_dlc11_character_abilities_pyromaniac		wh_type_magic_missile		wh_main_anc_group_uncommon	True	False	character		False
