special_ability_phase_stat_effects_tables
3
phase	value	stat	how
wh2_dlc10_quest_passive_primal_rampage_i	10	stat_resistance_all	add
wh2_dlc10_unit_passive_abyssal_howl	-8	stat_morale	add
wh2_dlc10_unit_passive_the_trial_of_blades	9	stat_melee_attack	add
wh2_dlc10_unit_passive_the_trial_of_blades	4	stat_melee_damage_ap	add
wh2_dlc10_weapon_passive_dragon_slayers_axe	5	stat_melee_attack	add
wh2_dlc10_weapon_passive_dragon_slayers_axe	1.18	stat_melee_damage_ap	mult
wh2_dlc10_weapon_passive_dragon_slayers_axe	1.18	stat_melee_damage_base	mult
wh2_dlc10_weapon_passive_shadow_of_khaine	3	scalar_splash_attack_power	mult
wh2_dlc11_army_abilities_shanty_verse_1	20	stat_melee_defence	add
wh2_dlc11_army_abilities_shanty_verse_1	20	stat_reloading	add
wh2_dlc11_army_abilities_shanty_verse_2	30	stat_melee_defence	add
wh2_dlc11_army_abilities_shanty_verse_2	30	stat_reloading	add
wh2_dlc11_army_abilities_shanty_verse_3	40	stat_melee_defence	add
wh2_dlc11_army_abilities_shanty_verse_3	40	stat_reloading	add
wh2_dlc11_character_abilities_all_hands_hoay	1.25	stat_melee_damage_ap	mult
wh2_dlc11_character_abilities_all_hands_hoay	1.25	stat_melee_damage_base	mult
wh2_dlc11_character_abilities_all_hands_hoay	16	stat_morale	add
wh2_dlc11_character_abilities_avast_ye	1.25	stat_melee_damage_ap	mult
wh2_dlc11_character_abilities_avast_ye	1.25	stat_melee_damage_base	mult
wh2_dlc11_character_abilities_avast_ye	8	stat_morale	add
wh2_dlc11_character_abilities_ballistic_enchantment	60	stat_accuracy	add
wh2_dlc11_character_abilities_ballistic_enchantment	20	stat_reloading	add
wh2_dlc11_character_abilities_cackle_fruit	0.52	scalar_speed	mult
wh2_dlc11_character_abilities_hornswaggle	0.76	scalar_speed	mult
wh2_dlc11_character_abilities_hornswaggle	-30	stat_armour	add
wh2_dlc11_character_abilities_hornswaggle	-24	stat_melee_defence	add
wh2_dlc11_character_abilities_taunt	0.76	scalar_speed	mult
wh2_dlc11_character_abilities_taunt	-30	stat_armour	add
wh2_dlc11_character_abilities_taunt	-24	stat_melee_defence	add
wh2_dlc11_hero_abilities_bomb_throw	1.2	scalar_missile_damage_ap	mult
wh2_dlc11_hero_passive_dead_eyes	1.1	scalar_missile_damage_ap	mult
wh2_dlc11_hero_passive_dead_eyes	1.1	scalar_missile_damage_base	mult
wh2_dlc11_item_abilities_moonshine	1.25	stat_melee_damage_ap	mult
wh2_dlc11_item_abilities_moonshine	1.25	stat_melee_damage_base	mult
wh2_dlc11_item_abilities_moonshine	-44	stat_resistance_flame	add
wh2_dlc11_item_passive_helm_of_the_kraken	9	stat_melee_defence	add
wh2_dlc11_lord_abilities_claws_of_mourkain	1.5	stat_melee_damage_ap	mult
wh2_dlc11_lord_abilities_dark_protection	24	stat_melee_defence	add
wh2_dlc11_lord_abilities_dark_protection	22	stat_resistance_all	add
wh2_dlc11_lord_abilities_dreaded_duelist	24	stat_melee_attack	add
wh2_dlc11_lord_abilities_dreaded_duelist	24	stat_melee_defence	add
wh2_dlc11_lord_abilities_ghoul_king_of_ushoran	8	stat_morale	add
wh2_dlc11_lord_abilities_heart_piercing	1.36	stat_charge_bonus	mult
wh2_dlc11_lord_abilities_heart_piercing	1.5	stat_melee_damage_ap	mult
wh2_dlc11_lord_abilities_lightning_reflexes	1.24	scalar_speed	mult
wh2_dlc11_lord_abilities_lightning_reflexes	22	stat_resistance_all	add
wh2_dlc11_lord_abilities_mananns_luck	24	stat_melee_defence	add
wh2_dlc11_lord_abilities_mananns_luck	22	stat_resistance_all	add
wh2_dlc11_lord_abilities_seduction	0.76	scalar_speed	mult
wh2_dlc11_lord_abilities_seduction	-24	stat_melee_attack	add
wh2_dlc11_lord_abilities_song_of_enthrallment	0.52	scalar_speed	mult
wh2_dlc11_lord_abilities_song_of_enthrallment	-24	stat_melee_attack	add
wh2_dlc11_lord_abilities_spearfishers_net	-24	stat_melee_defence	add
wh2_dlc11_lord_abilities_storm_of_the_night	0.28	scalar_speed	mult
wh2_dlc11_lord_abilities_transfix	1.24	scalar_speed	mult
wh2_dlc11_lord_abilities_transfix	22	stat_resistance_all	add
wh2_dlc11_lord_passive_honour_or_death	8	stat_morale	add
wh2_dlc11_lord_passive_honour_or_death	11	stat_resistance_all	add
wh2_dlc11_lord_passive_magical_void	33	stat_resistance_magic	add
wh2_dlc11_lord_passive_merciless_slaver	-4	stat_morale	add
wh2_dlc11_quest_battle_supply	1.24	scalar_speed	mult
wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	-40	stat_melee_attack	add
wh2_dlc11_spell_deep_fog_of_the_damned_upgraded	-8	stat_morale	add
wh2_dlc11_spell_deep_fog_of_the_damned	-24	stat_melee_attack	add
wh2_dlc11_spell_deep_fog_of_the_damned	-8	stat_morale	add
wh2_dlc11_spell_deep_krakens_pull	0.52	scalar_speed	mult
wh2_dlc11_spell_deep_spiteful_shot_upgraded	90	stat_accuracy	add
wh2_dlc11_spell_deep_spiteful_shot	90	stat_accuracy	add
wh2_dlc11_spell_deep_tidecall	0.76	scalar_speed	mult
wh2_dlc11_unit_contact_charmed	-9	stat_melee_attack	add
wh2_dlc11_unit_contact_disrupted	1.5	scalar_miscast_chance	mult
wh2_dlc11_unit_contact_disrupted	-10	stat_resistance_physical	add
wh2_dlc11_unit_contact_monstrous_impact	0.28	scalar_charge_speed	mult
wh2_dlc11_unit_contact_monstrous_impact	0.28	scalar_speed	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_damage_ap	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_damage_base	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_explosion_damage_ap	mult
wh2_dlc11_unit_passive_extra_powder	1.3	scalar_missile_explosion_damage_base	mult
wh2_dlc11_weapon_passive_krakens_bane	8	stat_bonus_vs_large	add
wh2_dlc11_weapon_passive_krakens_bane	5	stat_melee_attack	add
wh2_dlc12_character_abilities_supreme_shield_of_the_old_ones	44	stat_resistance_all	add
wh2_dlc12_item_passive_braid_of_bordeleaux	8	stat_bonus_vs_large	add
wh2_dlc12_item_passive_braid_of_bordeleaux	4	stat_morale	add
wh2_dlc12_item_passive_golden_death_mask	-9	stat_melee_attack	add
wh2_dlc12_item_passive_mask_of_heavens	23	stat_armour	add
wh2_dlc12_item_passive_mask_of_heavens	9	stat_melee_defence	add
wh2_dlc12_item_passive_plaque_of_sotek	12	stat_morale	add
wh2_dlc12_item_passive_plaque_of_sotek	22	stat_resistance_all	add
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	0.28	scalar_speed	mult
wh2_dlc12_lord_abilities_master_of_the_skies	1.24	scalar_speed	mult
wh2_dlc12_lord_abilities_master_of_the_skies	40	stat_melee_defence	add
wh2_dlc12_lord_abilities_warriors_crest	40	stat_melee_attack	add
wh2_dlc12_lord_abilities_warriors_crest	24	stat_melee_defence	add
wh2_dlc12_lord_passive_adrenaline_rush	1.5	stat_melee_damage_ap	mult
wh2_dlc12_lord_passive_secondwind_serum	12	stat_melee_defence	add
wh2_dlc12_unit_abilities_shield_of_chaqua	44	stat_resistance_missile	add
wh2_dlc12_unit_abilities_toad_rage	1.5	stat_melee_damage_ap	mult
wh2_dlc12_unit_abilities_toad_rage	1.5	stat_melee_damage_base	mult
wh2_dlc12_unit_contact_flammable	-22	stat_weakness_flame	add
wh2_dlc12_unit_contact_sundered_armour	-30	stat_armour	add
wh2_dlc12_unit_contact_suppressive_fire	0.64	scalar_speed	mult
wh2_dlc12_unit_passive_blade_swirl	12	stat_resistance_missile	add
wh2_dlc12_unit_passive_portent_of_warding	5	stat_resistance_all	add
wh2_dlc12_unit_passive_the_best_defence	24	stat_armour	add
wh2_dlc12_unit_passive_witness_me	50	stat_resistance_all	add
wh2_dlc12_weapon_passive_blade_of_the_ancient_skies	16	stat_melee_attack	add
wh2_dlc12_weapon_passive_blade_of_the_ancient_skies	1.18	stat_melee_damage_ap	mult
wh2_dlc12_weapon_passive_blade_of_the_ancient_skies	1.18	stat_melee_damage_base	mult
wh2_dlc12_weapon_passive_blade_of_the_serpents_tongue	1.08	stat_charge_bonus	mult
wh2_dlc13_armour_passive_obsinite_plate	-9	stat_melee_attack	add
wh2_dlc13_character_ability_big_boom_contact	-24	stat_melee_defence	add
wh2_dlc13_character_ability_hunters_call	30	stat_melee_defence	add
wh2_dlc13_character_ability_ishas_rain_contact	0.76	scalar_speed	mult
wh2_dlc13_final_battle_abilities_shield_of_the_old_ones	8	stat_morale	add
wh2_dlc13_final_battle_abilities_shield_of_the_old_ones	22	stat_resistance_all	add
wh2_dlc13_final_battle_character_abilities_rodrik_ward_save_reduction	-50	stat_resistance_all	add
wh2_dlc13_item_abilities_shield_of_aeons	60	stat_armour	add
wh2_dlc13_item_passive_band_of_loyalty	10	stat_resistance_physical	add
wh2_dlc13_lord_abilities_aura_of_inertia	0.76	scalar_speed	mult
wh2_dlc13_lord_abilities_aura_of_inertia	-8	stat_morale	add
wh2_dlc13_lord_abilities_funnel_of_flame	30	stat_reloading	add
wh2_dlc13_lord_abilities_hail_of_fire	30	stat_reloading	add
wh2_dlc13_lord_abilities_miasma_of_despair	0.76	scalar_speed	mult
wh2_dlc13_lord_abilities_miasma_of_despair	-8	stat_morale	add
wh2_dlc13_lord_abilities_monstrous_strength	16	stat_bonus_vs_infantry	add
wh2_dlc13_lord_abilities_monstrous_strength	1.25	stat_melee_damage_ap	mult
wh2_dlc13_lord_abilities_monstrous_strength	1.25	stat_melee_damage_base	mult
wh2_dlc13_lord_abilities_oil_flask	0.52	scalar_speed	mult
wh2_dlc13_lord_abilities_oil_flask	-50	stat_weakness_flame	add
wh2_dlc13_lord_abilities_primal_roar	40	stat_melee_attack	add
wh2_dlc13_lord_abilities_primal_roar	22	stat_resistance_physical	add
wh2_dlc13_lord_abilities_rock_of_itza	44	stat_resistance_physical	add
wh2_dlc13_lord_passive_endurance_aura	5	stat_melee_defence	add
wh2_dlc13_lord_passive_endurance_aura	5	stat_resistance_missile	add
wh2_dlc13_lord_passive_fleet_footed	1.18	scalar_entity_acceleration_modifier	mult
wh2_dlc13_lord_passive_fleet_footed	1.18	scalar_speed	mult
wh2_dlc13_lord_passive_merely_a_fleshwound	12	stat_melee_attack	add
wh2_dlc13_lord_passive_merely_a_fleshwound	6	stat_morale	add
wh2_dlc13_lord_passive_to_the_death	8	stat_melee_attack	add
wh2_dlc13_lord_passive_to_the_death	4	stat_morale	add
wh2_dlc13_lord_passive_trueshot_aura	1.05	scalar_missile_damage_ap	mult
wh2_dlc13_lord_passive_trueshot_aura	1.05	scalar_missile_damage_base	mult
wh2_dlc13_lord_passive_trueshot_aura	5	stat_reloading	add
wh2_dlc13_unit_abilities_bathed_in_blood	5	stat_melee_attack	add
wh2_dlc13_unit_abilities_bathed_in_blood	4	stat_morale	add
wh2_dlc13_unit_abilities_blinding_radiance	-9	stat_melee_attack	add
wh2_dlc13_unit_passive_dread_aversion	-8	stat_morale	add
wh2_dlc13_weapon_abilities_averland_runefang	-40	stat_melee_attack	add
wh2_dlc13_weapon_abilities_averland_runefang	0.4	stat_melee_damage_base	mult
wh2_dlc13_weapon_abilities_drakwald_runefang	44	stat_resistance_physical	add
wh2_dlc13_weapon_abilities_hochland_runefang	-60	stat_armour	add
wh2_dlc13_weapon_abilities_hochland_runefang	-24	stat_melee_defence	add
wh2_dlc13_weapon_abilities_mace_of_ulumak	40	stat_melee_attack	add
wh2_dlc13_weapon_abilities_mace_of_ulumak	1.5	stat_melee_damage_ap	mult
wh2_dlc13_weapon_abilities_mace_of_ulumak	1.5	stat_melee_damage_base	mult
wh2_dlc13_weapon_abilities_ostermark_runefang	32	stat_bonus_vs_large	add
wh2_dlc13_weapon_abilities_ostland_runefang	1.5	stat_melee_damage_ap	mult
wh2_dlc13_weapon_abilities_ostland_runefang	1.5	stat_melee_damage_base	mult
wh2_dlc13_weapon_abilities_talabecland_runefang	40	stat_melee_attack	add
wh2_dlc13_weapon_abilities_wissenland_runefang	0.52	scalar_speed	mult
wh2_dlc13_weapon_passive_solland_runefang	-8	stat_morale	add
wh2_dlc13_weapon_passive_stirland_runefang	9	stat_melee_attack	add
wh2_dlc14_character_abilities_henri_le_massif_exploit_weakness	-24	stat_melee_defence	add
wh2_dlc14_character_passive_discombobulate	-15	stat_armour	add
wh2_dlc14_character_passive_discombobulate	-5	stat_melee_defence	add
wh2_dlc14_contact_maddening	-9	stat_melee_defence	add
wh2_dlc14_contact_maddening	-10	stat_morale	add
wh2_dlc14_item_passive_idol_of_darkness	0.52	scalar_speed	mult
wh2_dlc14_item_passive_idol_of_darkness	-5	stat_melee_defence	add
wh2_dlc14_item_passive_the_cloak_of_shadows	-9	stat_melee_defence	add
wh2_dlc14_item_passive_the_cloak_of_shadows	-4	stat_morale	add
wh2_dlc14_lord_abilities_beastslaver	16	stat_bonus_vs_large	add
wh2_dlc14_lord_abilities_beastslaver	1.25	stat_melee_damage_ap	mult
wh2_dlc14_lord_abilities_beastslaver	1.25	stat_melee_damage_base	mult
wh2_dlc14_lord_abilities_bloodstorm	22	stat_resistance_all	add
wh2_dlc14_lord_abilities_looming_dread	0.52	scalar_speed	mult
wh2_dlc14_lord_abilities_looming_dread	-24	stat_melee_defence	add
wh2_dlc14_lord_abilities_looming_dread	-22	stat_resistance_missile	add
wh2_dlc14_lord_abilities_the_blood_price	1.6	stat_melee_damage_ap	mult
wh2_dlc14_lord_abilities_the_blood_price	1.6	stat_melee_damage_base	mult
wh2_dlc14_lord_abilities_the_blood_price	22	stat_resistance_all	add
wh2_dlc14_lord_abilities_the_daemons_curse	-24	stat_melee_defence	add
wh2_dlc14_lord_abilities_the_daemons_curse	-16	stat_morale	add
wh2_dlc14_lord_abilities_whiplash	1.24	scalar_charge_speed	mult
wh2_dlc14_lord_abilities_whiplash	1.18	stat_charge_bonus	mult
wh2_dlc14_lord_abilities_whiplash	1.5	stat_melee_damage_ap	mult
wh2_dlc14_lord_abilities_whiplash	1.5	stat_melee_damage_base	mult
wh2_dlc14_lord_passive_fleur_de_lys_banner	9	stat_melee_attack	add
wh2_dlc14_lord_passive_fleur_de_lys_banner	9	stat_melee_defence	add
wh2_dlc14_lore_passive_toxic_rain	0.9	scalar_missile_damage_ap	mult
wh2_dlc14_lore_passive_toxic_rain	0.9	scalar_missile_damage_base	mult
wh2_dlc14_lore_passive_toxic_rain	0.88	scalar_speed	mult
wh2_dlc14_lore_passive_toxic_rain	0.9	stat_melee_damage_ap	mult
wh2_dlc14_lore_passive_toxic_rain	0.9	stat_melee_damage_base	mult
wh2_dlc14_spell_ruin_flensing_ruin_upgraded	-30	stat_armour	add
wh2_dlc14_spell_ruin_flensing_ruin	-30	stat_armour	add
wh2_dlc14_spell_stealth_armour_of_darkness_upgraded	60	stat_armour	add
wh2_dlc14_spell_stealth_armour_of_darkness_upgraded	22	stat_resistance_missile	add
wh2_dlc14_spell_stealth_armour_of_darkness	60	stat_armour	add
wh2_dlc14_spell_stealth_armour_of_darkness	22	stat_resistance_missile	add
wh2_dlc14_spell_stealth_brittle_bone_upgraded	0.76	scalar_speed	mult
wh2_dlc14_spell_stealth_brittle_bone_upgraded	-40	stat_melee_defence	add
wh2_dlc14_spell_stealth_brittle_bone	0.76	scalar_speed	mult
wh2_dlc14_spell_stealth_brittle_bone	-40	stat_melee_defence	add
wh2_dlc14_spell_stealth_veil_of_shadows	0.52	scalar_speed	mult
wh2_dlc14_spell_stealth_veil_of_shadows	-8	stat_morale	add
wh2_dlc14_unit_abilities_warp_quake	0.76	scalar_speed	mult
wh2_dlc14_unit_contact_poisoned_wind_alt	-10	stat_morale	add
wh2_dlc14_unit_passive_aura_of_agony	-7	stat_melee_defence	add
wh2_dlc14_unit_passive_aura_of_agony	-4	stat_morale	add
wh2_dlc14_unit_passive_aura_of_ardour	7	stat_melee_attack	add
wh2_dlc14_unit_passive_aura_of_ardour	4	stat_morale	add
wh2_dlc14_unit_passive_barbed_net	0.88	scalar_speed	mult
wh2_dlc14_unit_passive_barbed_net	-12	stat_resistance_missile	add
wh2_dlc14_unit_passive_duck_and_weave	1.12	scalar_speed	mult
wh2_dlc14_unit_passive_duck_and_weave	10	stat_melee_defence	add
wh2_dlc14_unit_passive_duck_and_weave	10	stat_resistance_physical	add
wh2_dlc14_weapon_abilities_sword_of_lyonesse	40	stat_melee_attack	add
wh2_dlc14_weapon_abilities_sword_of_lyonesse	1.5	stat_melee_damage_ap	mult
wh2_dlc14_weapon_abilities_sword_of_lyonesse	1.5	stat_melee_damage_base	mult
wh2_dlc14_weapon_abilities_warpsword_of_khaine	5	stat_resistance_all	add
wh2_dlc15_abilities_fermented_fungi	-24	stat_melee_defence	add
wh2_dlc15_army_abilities_azhags_big_waaagh	40	stat_melee_attack	add
wh2_dlc15_army_abilities_azhags_big_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_azhags_big_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_azhags_waaagh	24	stat_melee_attack	add
wh2_dlc15_army_abilities_azhags_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_azhags_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_big_waaagh	40	stat_melee_attack	add
wh2_dlc15_army_abilities_big_waaagh	1.25	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_big_waaagh	1.25	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_grimgors_big_waaagh	40	stat_melee_attack	add
wh2_dlc15_army_abilities_grimgors_big_waaagh	1.5	stat_melee_damage_ap	mult
wh2_dlc15_army_abilities_grimgors_big_waaagh	1.5	stat_melee_damage_base	mult
wh2_dlc15_army_abilities_grimgors_waaagh	24	stat_melee_attack	add
