,abilities,ammo,armour,attributes,base_reload_time,caste,category,charge_bonus,charge_speed,charge_speed_flying,damage_mod_all,damage_mod_flame,damage_mod_magic,damage_mod_missile,damage_mod_physical,entity_size,explosion_ap_damage,explosion_base_damage,explosion_radius,faction_group,factions,ground_stat_effect_group,health,health_per_entity,height,key,leadership,mass,melee_ap_damage,melee_ap_ratio,melee_attack,melee_attack_interval,melee_base_damage,melee_bonus_v_infantry,melee_bonus_v_large,melee_defence,melee_total_damage,multiplayer_cost,name,parry_chance,projectile_number,radius,range,ranged_ap_damage,ranged_ap_ratio,ranged_base_damage,ranged_bonus_v_infantry,ranged_bonus_v_large,ranged_total_damage,shots_per_volley,special_category,speed,speed_flying,speed_ground,spells,unit_size
15,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40.0,120,"['causes_fear', 'encourages', 'hide_forest', 'mounted_fire_move', 'undead']",4.0,Lord,Wizard,35,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3735,3735,3.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1,75,1500,280,0.7,55,3.8,120,0,0,50,400,1250,Vampire Fleet Admiral (Pistol - Death) on Rotting Promethean,0,1.0,2.0,90.0,120.0,0.8,30.0,0.0,0.0,150.0,1.0,,45,0,45,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
16,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40.0,70,"['causes_fear', 'encourages', 'hide_forest', 'mounted_fire_move', 'undead']",4.0,Lord,Wizard,35,46,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,3051,3051,2.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0,75,600,170,0.35,65,4.0,310,0,0,45,480,950,Vampire Fleet Admiral (Pistol - Deep),0,1.0,0.7,90.0,120.0,0.8,30.0,0.0,0.0,150.0,1.0,,40,0,40,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",1
17,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40.0,120,"['causes_fear', 'encourages', 'hide_forest', 'mounted_fire_move', 'undead']",4.0,Lord,Wizard,35,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3735,3735,3.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1,75,1500,280,0.7,55,3.8,120,0,0,50,400,1250,Vampire Fleet Admiral (Pistol - Deep) on Rotting Promethean,0,1.0,2.0,90.0,120.0,0.8,30.0,0.0,0.0,150.0,1.0,,45,0,45,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",1
18,"['Wraith Storm', 'Arcane Conduit', 'The Hunger', 'Crumbling', 'Disintegrating']",,95,"['causes_fear', 'charge_reflector_vs_large', 'encourages', 'hide_forest', 'undead']",,Lord,Wizard,25,45,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Vampire Coast']",aquatic_small,3747,3747,2.2,wh2_dlc11_cst_inf_count_noctilus_0,75,1000,300,0.7,45,4.3,130,0,20,60,430,1400,Count Noctilus,0,,0.75,,,,,,,,,,38,0,38,[],1
19,"['Wraith Storm', 'Abandon Ship!', 'Extra Powder', 'Arcane Conduit', 'The Hunger', 'Crumbling', 'Disintegrating']",22.0,75,"['causes_fear', 'causes_terror', 'mounted_fire_move', 'undead']",12.0,Lord,Wizard,20,48,0,0,0,0,15,0,very_large,,,,cst,"['The Dreadfleet', 'Vampire Coast']",large,7406,7406,11.0,wh2_dlc11_cst_inf_count_noctilus_1,75,5500,309,0.75,46,4.0,103,0,0,30,412,2100,Count Noctilus on Necrofex Colossus,0,4.0,2.5,330.0,137.0,0.81,33.0,0.0,0.0,170.0,1.0,,45,0,45,[],1
20,"['Deadly Onslaught', 'Foe-Seeker', 'Crumbling', 'Disintegrating']",,0,"['causes_fear', 'causes_terror', 'encourages', 'hide_forest', 'strider', 'undead']",,Hero,Melee Specialist,40,46,0,0,0,0,0,75,small,,,,cst,['The Drowned'],ethereal,2391,2391,2.2,wh2_dlc11_cst_cha_damned_paladin_0,45,1200,135,0.35,45,4.0,255,0,20,40,390,900,Damned Paladin,35,,0.7,,,,,,,,,,40,0,40,[],1
21,"['Deadly Onslaught', 'Foe-Seeker', 'Crumbling', 'Disintegrating']",,0,"['causes_fear', 'causes_terror', 'encourages', 'hide_forest', 'strider', 'undead']",,Hero,Melee Specialist,70,108,0,0,0,0,0,75,medium,,,,cst,['The Drowned'],ethereal,2757,2757,2.0,wh2_dlc11_cst_cha_damned_paladin_1,45,1000,135,0.35,45,4.0,255,0,20,40,390,1100,Damned Paladin on Barded Warhorse,35,,1.4,,,,,,,,,,75,0,75,[],1
22,"['Enchanted Ballistics', 'Cackle Fruit', 'Bomb-Throw', 'More Powder!', 'Dead Eyes', 'Extra Powder', 'Crumbling', 'Disintegrating']",45.0,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",8.0,Hero,Support Specialist,15,44,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,2979,2979,2.2,wh2_dlc11_cst_cha_gunnery_wight_0,60,600,140,0.35,34,4.0,260,0,0,38,400,600,Gunnery Wight,0,1.0,0.7,180.0,180.0,0.75,60.0,0.0,0.0,240.0,1.0,,38,0,38,[],1
23,"['Enchanted Ballistics', 'Cackle Fruit', 'Bomb-Throw', 'More Powder!', 'Dead Eyes', 'Extra Powder', 'Crumbling', 'Disintegrating']",45.0,120,"['causes_fear', 'encourages', 'hide_forest', 'undead']",8.0,Hero,Support Specialist,30,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3735,3735,3.0,wh2_dlc11_cst_cha_gunnery_wight_1,60,1500,245,0.7,38,3.8,105,0,0,46,350,1100,Gunnery Wight on Rotting Promethean,0,1.0,2.0,180.0,180.0,0.75,60.0,0.0,0.0,240.0,1.0,,45,0,45,[],1
24,"['The Hunger', 'The Chilling Aura', 'Deadly Onslaught', 'Foe-Seeker', 'Crumbling', 'Disintegrating']",,40,"['causes_fear', 'causes_terror', 'guerrilla_deploy', 'stalk', 'undead']",,Hero,Melee Specialist,40,86,0,0,0,0,30,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",large,4926,4926,3.6,wh2_dlc11_cst_cha_mourngul_haunter,60,1500,280,0.67,48,3.0,140,25,0,38,420,1450,Mourngul Haunter,0,,2.0,,,,,,,,,,54,0,54,[],1
25,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,35,44,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,2679,2679,2.2,wh2_dlc11_cst_cha_vampire_fleet_captain_0,60,600,130,0.3,60,4.0,300,0,0,40,430,700,Vampire Fleet Captain (Vampires),0,,0.7,,,,,,,,,,38,0,38,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",1
26,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",,120,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,35,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3435,3435,3.0,wh2_dlc11_cst_cha_vampire_fleet_captain_1,60,1500,265,0.7,50,3.8,115,0,0,48,380,1100,Vampire Fleet Captain (Vampires) on Rotting Promethean,0,,2.0,,,,,,,,,,45,0,45,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",1
27,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,35,44,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,2679,2679,2.2,wh2_dlc11_cst_cha_vampire_fleet_captain_death_0,60,600,130,0.3,60,4.0,300,0,0,40,430,700,Vampire Fleet Captain (Death),0,,0.7,,,,,,,,,,38,0,38,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
28,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",,120,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,35,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3435,3435,3.0,wh2_dlc11_cst_cha_vampire_fleet_captain_death_1,60,1500,265,0.7,50,3.8,115,0,0,48,380,1100,Vampire Fleet Captain (Death) on Rotting Promethean,0,,2.0,,,,,,,,,,45,0,45,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
29,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",,30,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,35,44,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,2679,2679,2.2,wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_0,60,600,130,0.3,60,4.0,300,0,0,40,430,700,Vampire Fleet Captain (Deep),0,,0.7,,,,,,,,,,38,0,38,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",1
30,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",,120,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Hero,Wizard,35,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3435,3435,3.0,wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1,60,1500,265,0.7,50,3.8,115,0,0,48,380,1100,Vampire Fleet Captain (Deep) on Rotting Promethean,0,,2.0,,,,,,,,,,45,0,45,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",1
31,"['The Hunger', 'Frenzy', 'Crumbling', 'Disintegrating']",,90,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Berserker Axe Infantry,25,46,0,0,0,0,0,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,4905,109,2.0,wh2_dlc11_cst_inf_depth_guard_0,60,140,18,0.28,49,3.8,46,0,0,33,64,1200,Depth Guard,0,,0.77,,,,,,,,,,36,0,36,[],45
32,"['The Hunger', 'Frenzy', 'Crumbling', 'Disintegrating']",,90,"['causes_fear', 'charge_reflector_vs_large', 'hide_forest', 'undead']",,Melee Infantry,Halberd Infantry,10,46,0,0,0,0,0,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,4905,109,2.0,wh2_dlc11_cst_inf_depth_guard_1,60,140,28,0.7,35,4.4,12,0,30,47,40,1300,Depth Guard (Polearms),0,,0.77,,,,,,,,,,36,0,36,[],45
33,"['The Hunger', 'Frenzy', 'Crumbling', 'Disintegrating', 'Enrage']",,90,"['causes_fear', 'charge_reflector_vs_large', 'hide_forest', 'undead']",,Melee Infantry,Halberd Infantry,10,46,0,0,0,0,0,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,4905,109,2.0,wh2_dlc11_cst_inf_depth_guard_ror_0,70,140,28,0.7,44,4.4,12,0,30,58,40,1600,The Bloody Reaver Deck Guard (Depth Guard),0,,0.77,,,,,,,,,renown,36,0,36,[],45
34,['Rowdy'],,25,"['guerrilla_deploy', 'hide_forest']",,Melee Infantry,Dual Sword Infantry,18,40,0,0,0,0,0,0,small,,,,cst,['Pirates of Sartosa'],aquatic_small,5940,66,1.8,wh2_dlc11_cst_inf_sartosa_free_company_0,60,90,6,0.23,32,4.8,20,6,0,26,26,450,Sartosa Free Company,0,,0.65,,,,,,,,,,36,0,36,[],90
35,"['Crumbling', 'Disintegrating']",,0,"['causes_fear', 'causes_terror', 'hide_forest', 'strider', 'undead']",,Melee Infantry,Melee Infantry,14,52,0,0,0,0,0,75,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",ethereal,3690,82,2.1,wh2_dlc11_cst_inf_syreens,40,90,23,0.77,23,4.0,7,0,0,32,30,850,Syreens,0,,0.65,,,,,,,,,,48,0,48,[],45
36,"['Crumbling', 'Disintegrating']",,15,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Dual Sword Infantry,10,26,0,0,0,0,0,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,8040,67,1.7,wh2_dlc11_cst_inf_zombie_deckhands_mob_0,30,90,7,0.24,17,4.3,22,0,0,15,29,300,Zombie Pirate Deckhands Mob,0,,0.5,,,,,,,,,,23,0,23,[],120
37,"['Crumbling', 'Disintegrating']",,15,"['causes_fear', 'charge_reflector_vs_large', 'hide_forest', 'undead']",,Melee Infantry,Halberd Infantry,3,26,0,0,0,0,0,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,8040,67,1.7,wh2_dlc11_cst_inf_zombie_deckhands_mob_1,30,90,19,0.7,14,4.5,8,0,13,20,27,400,Zombie Pirate Deckhands Mob (Polearms),0,,0.5,,,,,,,,,,23,0,23,[],120
38,"['Rowdy', 'Frenzy', 'Crumbling', 'Disintegrating']",,15,"['causes_fear', 'hide_forest', 'undead']",,Melee Infantry,Dual Sword Infantry,10,26,0,0,0,0,0,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,8040,67,1.7,wh2_dlc11_cst_inf_zombie_deckhands_mob_ror_0,40,90,7,0.24,23,4.3,22,0,0,20,29,450,The Tide of Skjold (Zombie Pirate Deckhands Mob),0,,0.5,,,,,,,,,renown,23,0,23,[],120
39,"['Extra Powder', 'Crumbling', 'Disintegrating']",22.0,15,"['causes_fear', 'hide_forest', 'undead']",11.0,Missile Infantry,Specialist Missile Infantry,1,26,0,0,0,0,0,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,2592,108,1.6,wh2_dlc11_cst_inf_deck_gunners_0,40,150,2,0.11,5,4.3,16,0,0,10,18,700,Deck Gunners,0,1.0,1.3,245.0,39.0,0.83,8.0,0.0,0.0,47.0,1.0,,23,0,23,[],24
40,"['Extra Powder', 'Crumbling', 'Disintegrating']",22.0,0,"['causes_fear', 'hide_forest', 'strider', 'undead']",11.0,Missile Infantry,Specialist Missile Infantry,1,26,0,0,0,0,0,75,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",ethereal,1992,83,1.6,wh2_dlc11_cst_inf_deck_gunners_ror_0,50,150,2,0.11,17,4.3,16,0,0,18,18,1050,Shadewraith Gunners (Deck Gunners),0,1.0,1.3,245.0,30.0,0.83,6.0,0.0,0.0,36.0,1.0,renown,23,0,23,[],24
41,['Rowdy'],18.0,25,"['guerrilla_deploy', 'hide_forest', 'mounted_fire_move']",9.0,Missile Infantry,Close-Quarters Infantry,14,40,0,0,0,0,0,0,small,,,,cst,['Pirates of Sartosa'],aquatic_small,5490,61,1.8,wh2_dlc11_cst_inf_sartosa_militia_0,55,90,7,0.25,28,4.2,21,0,0,25,28,450,Sartosa Militia,0,1.0,0.65,90.0,2.0,0.14,12.0,0.0,0.0,14.0,1.0,,36,0,36,[],90
