,abilities,acceleration,accuracy,ammo,armour,attributes,base_reload_time,calibration_area,calibration_distance,caste,category,charge_bonus,charge_speed,charge_speed_flying,damage_mod_all,damage_mod_flame,damage_mod_magic,damage_mod_missile,damage_mod_physical,deceleration,entity_size,explosion_ap_damage,explosion_base_damage,explosion_contact_effect,explosion_is_flaming,explosion_is_magical,explosion_radius,faction_group,factions,fly_speed,ground_stat_effect_group,health,health_per_entity,height,is_large,key,leadership,mass,melee_ap_damage,melee_ap_ratio,melee_attack,melee_attack_interval,melee_base_damage,melee_bonus_v_infantry,melee_bonus_v_large,melee_contact_effect,melee_defence,melee_is_flaming,melee_is_magical,melee_splash_attack_multiplier,melee_splash_attack_target_size,melee_splash_attacks,melee_total_damage,missile_block_chance,multiplayer_cost,name,projectile_number,range,ranged_ap_damage,ranged_ap_ratio,ranged_base_damage,ranged_bonus_v_infantry,ranged_bonus_v_large,ranged_contact_effect,ranged_is_flaming,ranged_is_magical,ranged_total_damage,recruitment_time,reload_skill,run_speed,shots_per_volley,singleplayer_cost,singleplayer_upkeep,special_category,speed,spells,unit_card,unit_size
10,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",30,0,0,70,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Lord,Wizard,25,44,0,0,0,0,15,0,40,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,3051,3051,2.2,False,wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0,75,600,280,0.7,45,4.0,120,0,25,,60,False,False,1.0,large,5,400,0,950,Vampire Fleet Admiral (Polearm - Deep),0,0,0,,0,0,0,,,,0,1,0,38,0,1000,250,,38,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",placeholder.png,1
11,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",40,0,0,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Lord,Wizard,25,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3735,3735,3.0,True,wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1,75,1500,280,0.7,35,3.8,120,0,25,,60,False,False,1.0,medium,5,400,0,1250,Vampire Fleet Admiral (Polearm - Deep) on Rotting Promethean,0,0,0,,0,0,0,,,,0,1,0,45,0,1000,312,,45,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",placeholder.png,1
12,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40,10,40,70,"['Fear', 'Encourage', 'Hide (Forest)', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Wizard,35,46,0,0,0,0,15,0,50,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,3051,3051,2.0,False,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0,75,600,170,0.35,65,4.0,310,0,0,,45,False,False,1.0,medium,8,480,0,950,Vampire Fleet Admiral (Pistol - Vampires),1,90,120,0.8,30,0,0,,False,False,150,1,10,40,1,1000,250,,40,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",placeholder.png,1
13,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40,10,40,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Wizard,35,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3735,3735,3.0,True,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1,75,1500,280,0.7,55,3.8,120,0,0,,50,False,False,1.0,medium,5,400,0,1250,Vampire Fleet Admiral (Pistol - Vampires) on Rotting Promethean,1,90,120,0.8,30,0,0,,False,False,150,1,10,45,1,1000,312,,45,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",placeholder.png,1
14,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40,10,40,70,"['Fear', 'Encourage', 'Hide (Forest)', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Wizard,35,46,0,0,0,0,15,0,50,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,3051,3051,2.0,False,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_0,75,600,170,0.35,65,4.0,310,0,0,,45,False,False,1.0,medium,8,480,0,950,Vampire Fleet Admiral (Pistol - Death),1,90,120,0.8,30,0,0,,False,False,150,1,10,40,1,1000,250,,40,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",placeholder.png,1
15,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40,10,40,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Wizard,35,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3735,3735,3.0,True,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_1,75,1500,280,0.7,55,3.8,120,0,0,,50,False,False,1.0,medium,5,400,0,1250,Vampire Fleet Admiral (Pistol - Death) on Rotting Promethean,1,90,120,0.8,30,0,0,,False,False,150,1,10,45,1,1000,312,,45,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",placeholder.png,1
16,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40,10,40,70,"['Fear', 'Encourage', 'Hide (Forest)', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Wizard,35,46,0,0,0,0,15,0,50,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,3051,3051,2.0,False,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0,75,600,170,0.35,65,4.0,310,0,0,,45,False,False,1.0,medium,8,480,0,950,Vampire Fleet Admiral (Pistol - Deep),1,90,120,0.8,30,0,0,,False,False,150,1,10,40,1,1000,250,,40,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",placeholder.png,1
17,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40,10,40,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Wizard,35,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3735,3735,3.0,True,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1,75,1500,280,0.7,55,3.8,120,0,0,,50,False,False,1.0,medium,5,400,0,1250,Vampire Fleet Admiral (Pistol - Deep) on Rotting Promethean,1,90,120,0.8,30,0,0,,False,False,150,1,10,45,1,1000,312,,45,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",placeholder.png,1
18,"['Wraith Storm', 'Arcane Conduit', 'The Hunger', 'Crumbling', 'Disintegrating']",20,0,0,95,"['Fear', 'Charge Defence Against Large', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Lord,Wizard,25,45,0,0,0,0,15,0,30,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Vampire Coast']",0,aquatic_small,3747,3747,2.2,False,wh2_dlc11_cst_inf_count_noctilus_0,75,1000,300,0.7,45,4.3,130,0,20,,60,False,False,1.0,medium,7,430,0,1400,Count Noctilus,0,0,0,,0,0,0,,,,0,1,0,38,0,1000,250,,38,[],placeholder.png,1
19,"['Wraith Storm', 'Abandon Ship!', 'Extra Powder', 'Arcane Conduit', 'The Hunger', 'Crumbling', 'Disintegrating']",20,10,22,75,"['Fear', 'Terror', 'Fire While Moving', 'Undead']",12.0,10.0,225,Lord,Wizard,20,48,0,0,0,0,15,0,30,very_large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Vampire Coast']",0,large,7406,7406,11.0,True,wh2_dlc11_cst_inf_count_noctilus_1,75,5500,309,0.75,46,4.0,103,0,0,,30,False,False,1.25,very_large,10,412,0,2100,Count Noctilus on Necrofex Colossus,4,330,137,0.81,33,0,0,,False,False,170,1,10,45,1,1000,500,,45,[],placeholder.png,1
20,"['Deadly Onslaught', 'Foe-Seeker', 'Crumbling', 'Disintegrating']",30,0,0,0,"['Fear', 'Terror', 'Encourage', 'Hide (Forest)', 'Strider', 'Undead']",,0.0,0,Hero,Melee Specialist,40,46,0,0,0,0,0,75,40,small,0,0,,False,False,0,cst,['The Drowned'],0,ethereal,2391,2391,2.2,False,wh2_dlc11_cst_cha_damned_paladin_0,45,1200,135,0.35,45,4.0,255,0,20,,40,False,True,1.0,medium,8,390,35,900,Damned Paladin,0,0,0,,0,0,0,,,,0,1,0,40,0,1000,250,,40,[],placeholder.png,1
21,"['Deadly Onslaught', 'Foe-Seeker', 'Crumbling', 'Disintegrating']",50,0,0,0,"['Fear', 'Terror', 'Encourage', 'Hide (Forest)', 'Strider', 'Undead']",,0.0,0,Hero,Melee Specialist,70,108,0,0,0,0,0,75,60,medium,0,0,,False,False,0,cst,['The Drowned'],0,ethereal,2757,2757,2.0,True,wh2_dlc11_cst_cha_damned_paladin_1,45,1000,135,0.35,45,4.0,255,0,20,,40,False,True,1.0,medium,8,390,35,1100,Damned Paladin on Barded Warhorse,0,0,0,,0,0,0,,,,0,1,0,75,0,1200,300,,75,[],placeholder.png,1
22,"['Enchanted Ballistics', 'Cackle Fruit', 'Bomb-Throw', 'More Powder!', 'Dead Eyes', 'Extra Powder', 'Crumbling', 'Disintegrating']",30,10,45,30,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",8.0,2.0,150,Hero,Support Specialist,15,44,0,0,0,0,15,0,40,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,2979,2979,2.2,False,wh2_dlc11_cst_cha_gunnery_wight_0,60,600,140,0.35,34,4.0,260,0,0,,38,False,False,1.0,medium,6,400,0,600,Gunnery Wight,1,180,180,0.75,60,0,0,,False,False,240,1,10,38,1,1000,250,,38,[],placeholder.png,1
23,"['Enchanted Ballistics', 'Cackle Fruit', 'Bomb-Throw', 'More Powder!', 'Dead Eyes', 'Extra Powder', 'Crumbling', 'Disintegrating']",40,10,45,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",8.0,2.0,150,Hero,Support Specialist,30,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3735,3735,3.0,True,wh2_dlc11_cst_cha_gunnery_wight_1,60,1500,245,0.7,38,3.8,105,0,0,,46,False,False,1.0,medium,5,350,0,1100,Gunnery Wight on Rotting Promethean,1,180,180,0.75,60,0,0,,False,False,240,1,10,45,1,1000,275,,45,[],placeholder.png,1
24,"['The Hunger', 'The Chilling Aura', 'Deadly Onslaught', 'Foe-Seeker', 'Crumbling', 'Disintegrating']",40,0,0,40,"['Fear', 'Terror', 'Vanguard Deployment', 'Stalk', 'Undead']",,0.0,0,Hero,Melee Specialist,40,86,0,0,0,0,30,0,50,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,large,4926,4926,3.6,True,wh2_dlc11_cst_cha_mourngul_haunter,60,1500,280,0.67,48,3.0,140,25,0,,38,False,False,1.0,medium,6,420,0,1450,Mourngul Haunter,0,0,0,,0,0,0,,,,0,1,0,54,0,1450,325,,54,[],placeholder.png,1
25,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",30,0,0,30,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Hero,Wizard,35,44,0,0,0,0,15,0,40,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,2679,2679,2.2,False,wh2_dlc11_cst_cha_vampire_fleet_captain_0,60,600,130,0.3,60,4.0,300,0,0,,40,False,False,1.0,medium,6,430,0,700,Vampire Fleet Captain ,0,0,0,,0,0,0,,,,0,1,0,38,0,1000,250,,38,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",placeholder.png,1
26,"['Taunt', 'The Hunger', 'Crumbling', 'Disintegrating']",40,0,0,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Hero,Wizard,35,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3435,3435,3.0,True,wh2_dlc11_cst_cha_vampire_fleet_captain_1,60,1500,265,0.7,50,3.8,115,0,0,,48,False,False,1.0,medium,5,380,0,1100,Vampire Fleet Captain on Rotting Promethean,0,0,0,,0,0,0,,,,0,1,0,45,0,1250,275,,45,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",placeholder.png,1
31,"['The Hunger', 'Frenzy', 'Crumbling', 'Disintegrating']",30,0,0,90,"['Fear', 'Hide (Forest)', 'Undead']",,0.0,0,Melee Infantry,Berserker Axe Infantry,25,46,0,0,0,0,0,0,40,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,4905,109,2.0,False,wh2_dlc11_cst_inf_depth_guard_0,60,140,18,0.28,49,3.8,46,0,0,,33,False,False,1.0,,1,64,0,1200,Depth Guard,0,0,0,,0,0,0,,,,0,1,0,36,0,1200,300,,36,[],wh2_dlc11_cst_depth_guard.png,45
32,"['The Hunger', 'Frenzy', 'Crumbling', 'Disintegrating']",30,0,0,90,"['Fear', 'Charge Defence Against Large', 'Hide (Forest)', 'Undead']",,0.0,0,Melee Infantry,Halberd Infantry,10,46,0,0,0,0,0,0,40,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,4905,109,2.0,False,wh2_dlc11_cst_inf_depth_guard_1,60,140,28,0.7,35,4.4,12,0,30,,47,False,False,1.0,,1,40,0,1300,Depth Guard (Polearms),0,0,0,,0,0,0,,,,0,1,0,36,0,1300,325,,36,[],wh2_dlc11_cst_depth_guard_polearm.png,45
34,['Rowdy'],30,0,0,25,"['Vanguard Deployment', 'Hide (Forest)']",,0.0,0,Melee Infantry,Dual Sword Infantry,18,40,0,0,0,0,0,0,40,small,0,0,,False,False,0,cst,['Pirates of Sartosa'],0,aquatic_small,5940,66,1.8,False,wh2_dlc11_cst_inf_sartosa_free_company_0,60,90,6,0.23,32,4.8,20,6,0,,26,False,False,1.0,,4,26,0,450,Sartosa Free Company,0,0,0,,0,0,0,,,,0,1,10,36,0,500,110,,36,[],wh2_dlc11_cst_sartosa_free_company.png,90
35,"['Crumbling', 'Disintegrating']",40,0,0,0,"['Fear', 'Terror', 'Hide (Forest)', 'Strider', 'Undead']",,0.0,0,Melee Infantry,Melee Infantry,14,52,0,0,0,0,0,75,50,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,ethereal,3690,82,2.1,False,wh2_dlc11_cst_inf_syreens,40,90,23,0.77,23,4.0,7,0,0,Charmed!,32,False,True,1.0,,0,30,0,850,Syreens,0,0,0,,0,0,0,,,,0,2,0,48,0,850,215,,48,[],wh2_dlc11_cst_syreens.png,45
36,"['Crumbling', 'Disintegrating']",20,0,0,15,"['Fear', 'Hide (Forest)', 'Undead']",,0.0,0,Melee Infantry,Dual Sword Infantry,10,26,0,0,0,0,0,0,30,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,8040,67,1.7,False,wh2_dlc11_cst_inf_zombie_deckhands_mob_0,30,90,7,0.24,17,4.3,22,0,0,,15,False,False,1.0,,1,29,0,300,Zombie Pirate Deckhands Mob,0,0,0,,0,0,0,,,,0,1,0,23,0,300,60,,23,[],wh2_dlc11_cst_zombie_deckhands.png,120
37,"['Crumbling', 'Disintegrating']",20,0,0,15,"['Fear', 'Charge Defence Against Large', 'Hide (Forest)', 'Undead']",,0.0,0,Melee Infantry,Halberd Infantry,3,26,0,0,0,0,0,0,30,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,8040,67,1.7,False,wh2_dlc11_cst_inf_zombie_deckhands_mob_1,30,90,19,0.7,14,4.5,8,0,13,,20,False,False,1.0,,1,27,0,400,Zombie Pirate Deckhands Mob (Polearms),0,0,0,,0,0,0,,,,0,1,0,23,0,400,80,,23,[],wh2_dlc11_cst_zombie_deckhands_polearm.png,120
39,"['Extra Powder', 'Crumbling', 'Disintegrating']",20,10,22,15,"['Fear', 'Hide (Forest)', 'Undead']",11.0,1.8,145,Missile Infantry,Specialist Missile Infantry,1,26,0,0,0,0,0,0,30,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,2592,108,1.6,False,wh2_dlc11_cst_inf_deck_gunners_0,40,150,2,0.11,5,4.3,16,0,0,,10,False,False,1.0,,10,18,0,700,Deck Gunners,1,245,39,0.83,8,0,0,Shieldbreaker,False,False,47,1,15,23,1,800,200,,23,[],wh2_dlc11_cst_deck_gunners.png,24
