effect_bonus_value_ids_unit_sets_tables
0
bonus_value_id	effect	unit_set
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_0
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_necrosphinx
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_scorpion_no_ror
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_stalker_necropolis_knight	wh2_dlc09_tmb_stalker_necropolis_knight
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_tomb_prince_chariot	wh2_dlc09_tmb_tomb_prince_chariot
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_tomb_prince_foot	wh2_dlc09_tmb_tomb_prince_foot
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_tomb_prince_steed	wh2_dlc09_tmb_tomb_prince_steed
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_ushabti_titan	wh2_dlc09_tmb_mon_heirotitan_0
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_ushabti_titan	wh2_dlc09_tmb_ushabti
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_ushabti	wh2_dlc09_tmb_ushabti
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_vet_all_cav	wh2_dlc09_tmb_cav_necropolis_knights_ror
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_vet_all_cav	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_vet_all_cav	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_vet_all_cav	wh2_dlc09_tmb_vet_all_cav
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_warsphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
melee_defence_mod	wh2_dlc09_effect_melee_defence_monster	dlc15_monsters_monstrous_infantry_caste
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_all_melee_infantry	wh2_dlc09_tmb_all_melee_infantry
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_characters	heroes
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_stalker_necropolis_knight	wh2_dlc09_tmb_stalker_necropolis_knight
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_tomb_prince_chariot	wh2_dlc09_tmb_tomb_prince_chariot
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_tomb_prince_foot	wh2_dlc09_tmb_tomb_prince_foot
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_tomb_prince_steed	wh2_dlc09_tmb_tomb_prince_steed
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_ushabti_titan	wh2_dlc09_tmb_mon_heirotitan_0
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_ushabti_titan	wh2_dlc09_tmb_ushabti
melee_defence_mod	wh2_dlc09_effect_melee_defence_tmb_ushabti	wh2_dlc09_tmb_ushabti
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_0
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers_stalker	wh2_dlc09_tmb_skeleton_archer
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_0
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers_stalker	wh2_dlc09_tmb_skeleton_archer
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers	wh2_dlc09_tmb_skeleton_archer
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_archers	wh2_dlc09_tmb_skeleton_archer
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_casket_of_souls	wh2_dlc09_tmb_casket_of_souls
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_casket_of_souls	wh2_dlc09_tmb_casket_of_souls
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_catapult	wh2_dlc09_tmb_catapult
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_catapult	wh2_dlc09_tmb_catapult
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_catapult
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_skeleton_archer
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_skeleton_archer_catapult	wh2_pro06_tmb_mon_bone_giant_0
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_catapult
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_skeleton_archer
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_skeleton_archer_catapult	wh2_pro06_tmb_mon_bone_giant_0
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_ushabti	wh2_dlc09_tmb_ushabti
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_ushabti	wh2_dlc09_tmb_ushabti
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_dlc09_tmb_inf_skeleton_archers_ror
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_dlc09_tmb_mon_ushabti_ror
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_dlc09_tmb_vet_all_archer
missile_damage_ap_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_pro06_tmb_vet_bone_giant
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_dlc09_tmb_inf_skeleton_archers_ror
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_dlc09_tmb_mon_ushabti_ror
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_dlc09_tmb_vet_all_archer
missile_damage_mod_mult	wh2_dlc09_effect_missile_damage_tmb_vet_all_archer	wh2_pro06_tmb_vet_bone_giant
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_archer	wh2_dlc09_tmb_inf_skeleton_archers_ror
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_archer	wh2_dlc09_tmb_mon_ushabti_ror
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_archer	wh2_dlc09_tmb_vet_all_archer
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_archer	wh2_pro06_tmb_vet_bone_giant
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_infantry	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_infantry	wh2_dlc09_tmb_inf_skeleton_spearmen_ror
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_infantry	wh2_dlc09_tmb_inf_tomb_guard_ror
unit_damage_resistance_missile_mod	wh2_dlc09_effect_missile_resistance_tmb_vet_all_infantry	wh2_dlc09_tmb_vet_all_infantry
morale	wh2_dlc09_effect_morale_tmb_all_melee_infantry	wh2_dlc09_tmb_all_melee_infantry
morale	wh2_dlc09_effect_morale_tmb_all_skeleton	wh2_dlc09_tmb_all_skeleton
unit_damage_resistance_physical_mod	wh2_dlc09_effect_physical_resistance_tmb_vet_all_cav	wh2_dlc09_tmb_cav_necropolis_knights_ror
unit_damage_resistance_physical_mod	wh2_dlc09_effect_physical_resistance_tmb_vet_all_cav	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
unit_damage_resistance_physical_mod	wh2_dlc09_effect_physical_resistance_tmb_vet_all_cav	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
unit_damage_resistance_physical_mod	wh2_dlc09_effect_physical_resistance_tmb_vet_all_cav	wh2_dlc09_tmb_vet_all_cav
unit_damage_resistance_physical_mod	wh2_dlc09_effect_physical_save_tmb_all_skeleton	wh2_dlc09_tmb_all_skeleton
missile_damage_ap_mod_mult	wh2_dlc09_effect_ranged_damage_tmb_horsemen	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
missile_damage_ap_mod_mult	wh2_dlc09_effect_ranged_damage_tmb_horsemen	wh2_dlc09_tmb_horsemen
missile_damage_mod_mult	wh2_dlc09_effect_ranged_damage_tmb_horsemen	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
missile_damage_mod_mult	wh2_dlc09_effect_ranged_damage_tmb_horsemen	wh2_dlc09_tmb_horsemen
reload	wh2_dlc09_effect_reload_speed_tmb_archers	wh2_dlc09_tmb_skeleton_archer
reload	wh2_dlc09_effect_reload_speed_tmb_chariot_warsphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
reload	wh2_dlc09_effect_reload_speed_tmb_chariot_warsphinx	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0
reload	wh2_dlc09_effect_reload_tmb_chariots	wh2_dlc09_tmb_chariots
reload	wh2_dlc09_effect_reload_tmb_skeleton_archer	wh2_dlc09_tmb_skeleton_archer
replenishment_percentage_bonus	wh2_dlc09_effect_replenishment_tmb_structures	wh2_dlc09_tmb_all_strctural_units
replenishment_percentage_bonus	wh2_dlc09_effect_replenishment_tmb_tomb_guard	wh2_dlc09_tmb_tomb_guard
replenishment_percentage_bonus	wh2_dlc09_effect_replenishment_tomb_guard_chariots	wh2_dlc09_tmb_tomb_guards_chariots
charge_add	wh2_dlc09_effect_skill_charge_bonus_increase_skv_stormvermin	skv_stormvermin
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_horsemen_necropolice	wh2_dlc09_tmb_cav_necropolis_knights_0
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_horsemen_necropolice	wh2_dlc09_tmb_cav_necropolis_knights_1
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_horsemen_necropolice	wh2_dlc09_tmb_cav_necropolis_knights_ror
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_horsemen_necropolice	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_horsemen_necropolice	wh2_dlc09_tmb_horsemen
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_stalker_necropolis_knight	wh2_dlc09_tmb_stalker_necropolis_knight
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_vet_all_infantry	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_vet_all_infantry	wh2_dlc09_tmb_inf_skeleton_spearmen_ror
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_vet_all_infantry	wh2_dlc09_tmb_inf_tomb_guard_ror
mod_land_movement_battle	wh2_dlc09_effect_speed_tmb_vet_all_infantry	wh2_dlc09_tmb_vet_all_infantry
ammo_mod	wh2_dlc09_effect_tech_ammunition_increase_tmb_skeleton_archers_horsemen	wh2_dlc09_tmb_horsemen
ammo_mod	wh2_dlc09_effect_tech_ammunition_increase_tmb_skeleton_archers_horsemen	wh2_dlc09_tmb_skeleton_archer
ammo_mod	wh2_dlc09_effect_tech_ammunition_increase_tmb_skull_catapult_casket	wh2_dlc09_tmb_art_screaming_skull_catapult_0
ammo_mod	wh2_dlc09_effect_tech_ammunition_increase_tmb_skull_catapult_casket	wh2_dlc09_tmb_casket_of_souls
ammo_mod	wh2_dlc09_effect_tech_ammunition_increase_tmb_skull_catapult	wh2_dlc09_tmb_art_screaming_skull_catapult_0
armour_mod	wh2_dlc09_effect_tech_armour_increase_brt_knights	brt_knights
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_chariots	wh2_dlc09_tmb_chariots
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_necropolis_knights	wh2_dlc09_tmb_necropolis_knights
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_necrosphinx	wh2_dlc09_tmb_necrosphinx
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_chariots
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_0
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_skeleton_archers_horsemen	wh2_dlc09_tmb_horsemen
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_skeleton_archers_horsemen	wh2_dlc09_tmb_skeleton_archer
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_sphinxes	wh2_dlc09_tmb_sphinx_all
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_stalkers	wh2_dlc09_tmb_sepulchral_stalkers
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_tombguard_hierotitan	wh2_dlc09_tmb_mon_heirotitan_0
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_tombguard_hierotitan	wh2_dlc09_tmb_tomb_guard
armour_mod	wh2_dlc09_effect_tech_armour_increase_tmb_warsphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
charge_add	wh2_dlc09_effect_tech_charge_speed_increase_tmb_carrion	wh2_dlc09_tmb_mon_carrion_0
charge_add	wh2_dlc09_effect_tech_charge_speed_increase_tmb_horsemen	wh2_dlc09_tmb_horsemen
charge_add	wh2_dlc09_effect_tech_charge_speed_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_chariots
charge_add	wh2_dlc09_effect_tech_charge_speed_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_0
charge_add	wh2_dlc09_effect_tech_charge_speed_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
charge_add	wh2_dlc09_effect_tech_charge_speed_increase_tmb_scorpions_stalkers	wh2_dlc09_tmb_mon_tomb_scorpion_0
charge_add	wh2_dlc09_effect_tech_charge_speed_increase_tmb_scorpions_stalkers	wh2_dlc09_tmb_sepulchral_stalkers
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_bone_giant	wh2_pro06_tmb_mon_bone_giant_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_horsemen	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_horsemen	wh2_dlc09_tmb_cav_skeleton_horsemen_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights_1
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_chariots
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_scorpions	wh2_dlc09_tmb_mon_tomb_scorpion_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_spearmen_warriors	wh2_dlc09_tmb_inf_nehekhara_warriors_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_spearmen_warriors	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_spearmen_warriors	wh2_dlc09_tmb_inf_skeleton_spearmen_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_spearmen_warriors	wh2_dlc09_tmb_inf_skeleton_spearmen_ror
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_spearmen_warriors	wh2_dlc09_tmb_inf_skeleton_warriors_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_tomb_guard	wh2_dlc09_tmb_inf_tomb_guard_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_tomb_guard	wh2_dlc09_tmb_inf_tomb_guard_1
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_ushabti	wh2_dlc09_tmb_mon_ushabti_0
melee_attack_mod	wh2_dlc09_effect_tech_melee_attack_increase_tmb_ushabti	wh2_dlc09_tmb_mon_ushabti_1
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_chariots	wh2_dlc09_tmb_chariots
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_chariots	wh2_dlc09_tmb_chariots
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_necropolis_knights	wh2_dlc09_tmb_necropolis_knights
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_necropolis_knights	wh2_dlc09_tmb_necropolis_knights
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_chariots
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_0
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_chariots
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_0
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_nehekhara_warriors_chariots	wh2_dlc09_tmb_inf_nehekhara_warriors_ror
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_scorpions_stalkers	wh2_dlc09_tmb_mon_tomb_scorpion_0
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_scorpions_stalkers	wh2_dlc09_tmb_sepulchral_stalkers
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_scorpions_stalkers	wh2_dlc09_tmb_mon_tomb_scorpion_0
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_scorpions_stalkers	wh2_dlc09_tmb_sepulchral_stalkers
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_skeletons_chariots	wh2_dlc09_tmb_chariots
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_skeletons_chariots	wh2_dlc09_tmb_skeleton_melee_infantry
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_skeletons_chariots	wh2_dlc09_tmb_chariots
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_skeletons_chariots	wh2_dlc09_tmb_skeleton_melee_infantry
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_tombguard_hierotitans	wh2_dlc09_tmb_mon_heirotitan_0
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_tombguard_hierotitans	wh2_dlc09_tmb_tomb_guard
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_tombguard_hierotitans	wh2_dlc09_tmb_mon_heirotitan_0
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_tombguard_hierotitans	wh2_dlc09_tmb_tomb_guard
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_ushabti_sphinxes	wh2_dlc09_tmb_sphinx_all
melee_damage_ap_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_ushabti_sphinxes	wh2_dlc09_tmb_ushabti
melee_damage_mod_mult	wh2_dlc09_effect_tech_melee_damage_increase_tmb_ushabti_sphinxes	wh2_dlc09_tmb_sphinx_all
