ancillary_to_effects_tables
0
ancillary	effect	effect_scope	value
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh2_main_effect_ability_enable_lucky_skullhelm	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh2_main_effect_physical_resistance_increase	character_to_character_own	10
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	10
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own	15
wh2_dlc09_anc_enchanted_item_ouroboros	wh2_main_effect_ability_enable_regeneration	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_ouroboros	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_ouroboros	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	8
wh2_dlc09_anc_enchanted_item_shroud_of_sokth	wh_main_effect_ability_enable_slippery	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_shroud_of_sokth	wh_main_effect_character_stat_mod_charge_add	character_to_character_own	25
wh2_dlc09_anc_enchanted_item_shroud_of_sokth	wh_main_effect_unit_enable_attribute_stalk	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh2_dlc09_effect_ability_enable_crown_of_nehekhara	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh_main_effect_character_stat_mod_armour	character_to_character_own	10
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	15
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh_main_effect_general_mod_tunnel_interception_chance	character_to_character_own	20
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	wh2_dlc09_effect_ability_enable_vambraces_of_the_sun	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	9
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	25
wh2_dlc09_anc_follower_tmb_acolyte_of_sokth	wh_main_effect_economy_gdp_mod_all	character_to_region_own	10
wh2_dlc09_anc_follower_tmb_charnel_valley_necrotect	wh2_dlc09_effect_building_construction_cost_mod_economy	character_to_region_own_provincewide	-15
wh2_dlc09_anc_follower_tmb_cultist_of_usirian	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	-1
wh2_dlc09_anc_follower_tmb_cultist_of_usirian	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	2
wh2_dlc09_anc_follower_tmb_dog_headed_ushabti	wh2_dlc09_effect_tmb_rite_cost_mod	character_to_faction_unseen	-5
wh2_dlc09_anc_follower_tmb_herald_of_djaf	wh2_dlc09_effect_ability_deathblow_for_skeleton_units	general_to_force_own	1
wh2_dlc09_anc_follower_tmb_herald_of_khemri	wh2_dlc09_effect_ability_hawkish_precision_to_archer_units	general_to_force_own	1
wh2_dlc09_anc_follower_tmb_herald_of_mahrak	wh2_dlc09_effect_tmb_tomb_guard_armour	general_to_force_own	10
wh2_dlc09_anc_follower_tmb_herald_of_mahrak	wh2_dlc09_effect_tmb_tomb_guard_damage	general_to_force_own	12
wh2_dlc09_anc_follower_tmb_herald_of_raestra	wh2_dlc09_effect_ability_frenzy_to_ushabti_units	general_to_force_own	1
wh2_dlc09_anc_follower_tmb_herald_of_scorpion	wh2_dlc09_effect_tmb_scorpion_bonus_v_small	general_to_force_own	12
wh2_dlc09_anc_follower_tmb_herald_of_sphinx	wh2_dlc09_effect_tmb_sphinx_bonus_v_large	general_to_force_own	12
wh2_dlc09_anc_follower_tmb_herald_of_zandri	wh2_dlc09_effect_battle_vanguard_tmb_chariots	general_to_force_own	1
wh2_dlc09_anc_follower_tmb_high_born_of_khemri	wh_main_effect_public_order_characters	character_to_province_own	2
wh2_dlc09_anc_follower_tmb_legionnaire_of_asaph	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	15
wh2_dlc09_anc_follower_tmb_priest_of_ptra	wh_main_effect_agent_movement_range_mod	character_to_character_own	6
wh2_dlc09_anc_follower_tmb_priest_of_ptra	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	1
wh2_dlc09_anc_follower_tmb_skeletal_labourer	wh_main_effect_building_construction_cost_mod_settlement	character_to_region_own_provincewide	-25
wh2_dlc09_anc_follower_tmb_tombfleet_taskmaster	wh_main_effect_force_all_campaign_movement_range	character_to_force_own_unseen	10
wh2_dlc09_anc_follower_tmb_ushabti_bodyguard	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-8
wh2_dlc09_anc_talisman_amulet_of_pha_stah	wh2_dlc09_effect_ability_enable_amulet_of_pha_stah	character_to_character_own	1
wh2_dlc09_anc_talisman_amulet_of_pha_stah	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	10
wh2_dlc09_anc_talisman_amulet_of_pha_stah	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	16
wh2_dlc09_anc_talisman_collar_of_shakkara	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh2_dlc09_anc_talisman_collar_of_shakkara	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10
wh2_dlc09_anc_talisman_golden_ankhra	wh_main_effect_character_stat_mod_armour	character_to_character_own	3
wh2_dlc09_anc_talisman_golden_ankhra	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	4
wh2_dlc09_anc_talisman_golden_ankhra	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	6
wh2_dlc09_anc_talisman_golden_eye_of_rah_nutt	wh_main_effect_character_stat_mod_charge_add	character_to_character_own	20
wh2_dlc09_anc_talisman_golden_eye_of_rah_nutt	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	8
wh2_dlc09_anc_talisman_obsidian_pendant	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20
wh2_dlc09_anc_talisman_sun_scarab	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	5
wh2_dlc09_anc_talisman_sun_scarab	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	10
wh2_dlc09_anc_weapon_blade_of_antarhak	wh_main_effect_ability_enable_the_hunger	character_to_character_own	1
wh2_dlc09_anc_weapon_blade_of_antarhak	wh_main_effect_character_stat_mod_bonus_v_small	character_to_character_own	11
wh2_dlc09_anc_weapon_blade_of_mourning_fire	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_blade_of_mourning_fire	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	15
wh2_dlc09_anc_weapon_blade_of_mourning_fire	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	10
wh2_dlc09_anc_weapon_blade_of_mourning_fire	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	5
wh2_dlc09_anc_weapon_blade_of_setep	wh2_dlc09_effect_ability_enable_blade_of_setep	character_to_character_own	1
wh2_dlc09_anc_weapon_blade_of_setep	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_blade_of_setep	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	35
wh2_dlc09_anc_weapon_crook_and_flail_of_radiance	wh2_main_effect_ability_enable_slann_2	character_to_character_own	1
wh2_dlc09_anc_weapon_crook_and_flail_of_radiance	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	7
wh2_dlc09_anc_weapon_crook_and_flail_of_radiance	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	10
wh2_dlc09_anc_weapon_crook_and_flail_of_radiance	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh2_dlc09_anc_weapon_destroyer_of_eternities	wh2_main_effect_character_stat_mod_melee_damage_add	character_to_character_own	-10
wh2_dlc09_anc_weapon_destroyer_of_eternities	wh_main_effect_ability_enable_heroic_killing_blow	character_to_character_own	1
wh2_dlc09_anc_weapon_destroyer_of_eternities	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	60
wh2_dlc09_anc_weapon_destroyer_of_eternities	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	12
wh2_dlc09_anc_weapon_double_crescent_of_neru	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_double_crescent_of_neru	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5
wh2_dlc09_anc_weapon_double_crescent_of_neru	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	5
wh2_dlc09_anc_weapon_double_crescent_of_neru	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh2_dlc09_anc_weapon_enchanted_lapis_mace	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_enchanted_lapis_mace	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	7
wh2_dlc09_anc_weapon_enchanted_lapis_mace	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	5
wh2_dlc09_anc_weapon_fang_of_quaph	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_fang_of_quaph	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	4
wh2_dlc09_anc_weapon_golden_dagger	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	3
wh2_dlc09_anc_weapon_golden_dagger	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	4
wh2_dlc09_anc_weapon_inscribed_khopesh	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	4
wh2_dlc09_anc_weapon_inscribed_khopesh	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	3
wh2_dlc09_anc_weapon_spear_of_pakth	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_spear_of_pakth	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	5
wh2_dlc09_anc_weapon_spear_of_pakth	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	3
wh2_dlc09_anc_weapon_spear_of_pakth	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	3
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh2_dlc09_effect_ability_enable_blessed_blade_of_ptra	character_to_character_own	1
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	10
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh_main_effect_public_order_characters	character_to_province_own_factionwide	3
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh2_dlc09_effect_ability_enable_the_tomb_blade_of_arkhan	character_to_character_own	1
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	14
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	15
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh_main_effect_public_order_characters	character_to_province_own	5
wh2_dlc09_anc_weapon_the_venom_staff	wh2_dlc09_effect_ability_enable_venom_staff	character_to_character_own	1
wh2_dlc09_anc_weapon_the_venom_staff	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_the_venom_staff	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1
wh2_dlc09_anc_weapon_the_venom_staff	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	40
wh2_dlc09_anc_weapon_the_venom_staff	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	5
wh2_dlc10_anc_arcane_item_scroll_of_arnizipals_black_horror	wh2_dlc10_item_bound_arnizipals_black_horror	character_to_character_own	1
wh2_dlc10_anc_arcane_item_scroll_of_assault_of_stone	wh2_dlc10_item_bound_assault_of_stone	character_to_character_own	1
wh2_dlc10_anc_arcane_item_scroll_of_blast	wh2_dlc10_item_bound_blast	character_to_character_own	1
wh2_dlc10_anc_arcane_item_scroll_of_fear_of_aramar	wh2_dlc10_item_bound_fear_of_aramar	character_to_character_own	1
wh2_dlc10_anc_arcane_item_scroll_of_speed_of_lykos	wh2_dlc10_item_bound_speed_of_lykos	character_to_character_own	1
wh2_dlc10_anc_arcane_item_scroll_of_the_amber_trance	wh2_dlc10_effect_ability_enable_the_amber_trance	character_to_character_own	1
wh2_dlc10_anc_arcane_item_stave_of_avelorn	wh2_dlc10_effect_ability_enable_stave_of_avelorn	character_to_character_own	1
wh2_dlc10_anc_arcane_item_stave_of_avelorn	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	8
wh2_dlc10_anc_arcane_item_stave_of_avelorn	wh_main_effect_military_force_winds_of_magic_starting_mod	character_to_force_own_unseen	10
wh2_dlc10_anc_enchanted_item_burning_phoenix_pinion	wh2_dlc10_ability_enable_rebirth	character_to_character_own	1
wh2_dlc10_anc_enchanted_item_burning_phoenix_pinion	wh2_dlc10_effect_ability_enable_fiery_convocation	character_to_character_own	1
wh2_dlc10_anc_enchanted_item_burning_phoenix_pinion	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	20
wh2_dlc10_anc_enchanted_item_burning_phoenix_pinion	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	15
wh2_dlc10_anc_enchanted_item_extinguished_phoenix_pinion	wh_main_effect_character_stat_mod_ward_save_fire	character_to_character_own	20
wh2_dlc10_anc_enchanted_item_extinguished_phoenix_pinion	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20
wh2_dlc10_anc_enchanted_item_star_of_avelorn	wh2_dlc10_effect_ability_enable_star_of_avelorn	character_to_character_own	1
wh2_dlc10_anc_enchanted_item_star_of_avelorn	wh_main_effect_character_stat_mod_personal_aura_morale_effect	character_to_character_own	10
wh2_dlc10_anc_enchanted_item_star_of_avelorn	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	35
wh2_dlc10_anc_enchanted_item_star_of_avelorn	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	5
wh2_dlc10_anc_enchanted_item_the_shadow_crown	wh2_dlc10_effect_ability_enable_the_shadow_crown	character_to_character_own	1
wh2_dlc10_anc_enchanted_item_the_shadow_crown	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own	10
wh2_dlc10_anc_enchanted_item_the_shadow_crown	wh_main_effect_public_order_characters	character_to_province_own	5
wh2_dlc10_anc_talisman_amulet_of_dark_fire	wh2_dlc10_effect_ability_enable_amulet_of_dark_fire	character_to_character_own	1
wh2_dlc10_anc_talisman_amulet_of_dark_fire	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10
wh2_dlc10_anc_talisman_amulet_of_dark_fire	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	15
wh2_dlc10_anc_talisman_carnosaur_skull	wh2_dlc10_effect_ability_enable_primal_rage	character_to_character_own	1
wh2_dlc10_anc_talisman_carnosaur_skull	wh_main_effect_character_stat_mod_armour	character_to_character_own	15
wh2_dlc10_anc_talisman_carnosaur_skull	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	7
wh2_dlc10_anc_talisman_hydra_head	wh2_dlc10_effect_ability_enable_unidentified_head	character_to_character_own	1
wh2_dlc10_anc_talisman_hydra_head	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20
wh2_dlc10_anc_talisman_hydra_head	wh_main_effect_unit_enable_attribute_terror	character_to_character_own	1
wh2_dlc10_anc_talisman_shieldstone_of_isha	wh2_dlc10_effect_ability_enable_shieldstone_of_isha	character_to_character_own	1
wh2_dlc10_anc_talisman_shieldstone_of_isha	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	10
wh2_dlc10_anc_talisman_shieldstone_of_isha	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	5
wh2_dlc10_anc_talisman_stone_of_midnight	wh2_dlc10_effect_ability_enable_stone_of_midnight	character_to_character_own	1
wh2_dlc10_anc_talisman_stone_of_midnight	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	17
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh2_dlc10_effect_ability_enable_the_cursed_blade	character_to_character_own	1
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	3
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	10
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh2_dlc10_anc_weapon_moonbow	wh2_dlc10_effect_ability_enable_the_moonbow	character_to_character_own	1
wh2_dlc10_anc_weapon_moonbow	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc10_anc_weapon_moonbow	wh_main_effect_character_stat_mod_ammunition	character_to_character_own	15
wh2_dlc10_anc_weapon_moonbow	wh_main_effect_character_stat_mod_missile_damage	character_to_character_own	10
wh2_dlc10_anc_weapon_moonbow	wh_main_effect_character_stat_mod_range	character_to_character_own	15
wh2_dlc10_anc_weapon_the_widowmaker_1	wh2_dlc10_effect_ability_enable_shadow_of_khaine	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_1	wh2_dlc10_effect_ability_enable_sword_of_khaine	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_1	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_1	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	450
wh2_dlc10_anc_weapon_the_widowmaker_1	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	25
wh2_dlc10_anc_weapon_the_widowmaker_1	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	20
wh2_dlc10_anc_weapon_the_widowmaker_1	wh_main_effect_unit_enable_attribute_unbreakable	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_2	wh2_dlc10_effect_ability_enable_shadow_of_khaine	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_2	wh2_dlc10_effect_ability_enable_sword_of_khaine	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_2	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_2	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	550
wh2_dlc10_anc_weapon_the_widowmaker_2	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	30
wh2_dlc10_anc_weapon_the_widowmaker_2	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	25
wh2_dlc10_anc_weapon_the_widowmaker_2	wh_main_effect_unit_enable_attribute_unbreakable	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_3	wh2_dlc10_effect_ability_enable_shadow_of_khaine	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_3	wh2_dlc10_effect_ability_enable_sword_of_khaine	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_3	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1
wh2_dlc10_anc_weapon_the_widowmaker_3	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	650
wh2_dlc10_anc_weapon_the_widowmaker_3	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	35
wh2_dlc10_anc_weapon_the_widowmaker_3	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	30
wh2_dlc10_anc_weapon_the_widowmaker_3	wh_main_effect_unit_enable_attribute_unbreakable	character_to_character_own	1
wh2_dlc10_anc_weapon_warptech_arsenal	wh2_main_skill_ability_skv_doomrocket_engineer	character_to_character_own	1
wh2_dlc10_anc_weapon_warptech_arsenal	wh_main_effect_character_stat_mod_bonus_v_small	character_to_character_own	8
wh2_dlc10_anc_weapon_warptech_arsenal	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	8
wh2_dlc10_anc_weapon_warptech_arsenal	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	10
wh2_dlc10_dwf_anc_armour_alriks_armour	wh_main_effect_character_stat_mod_armour	character_to_character_own	35
wh2_dlc10_dwf_anc_armour_alriks_armour	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	-15
wh2_dlc10_dwf_anc_armour_alriks_armour	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	20
